name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
Kindcentrum De Wegwijzer,Harm Tiesingstraat 74,/basisscholen/2e-exloërmond/25159/kindcentrum-de-wegwijzer/,Prot. christelijk,84.0,2e Exloërmond,Basic School,65.3,55.8,100.0,94.7
Openbare Basisschool De Westhoek,Schoolstraat 27,/basisscholen/2e-exloërmond/7595/openbare-basisschool-de-westhoek/,Openbaar Basisonderwijs44,44.0,2e Exloërmond,Basic School,51.4,48.9,94.6,92.7
Basisschool De Tweeklank,Albardastraat 35,/basisscholen/aadorp/11785/basisschool-de-tweeklank/,Samenwerking Basisonderwijs116,116.0,Aadorp,Basic School,64.7,58.4,94.7,95.4
JHR Willem Versluijsschool,Prelaatweg 22,/basisscholen/aagtekerke/25963/jhr-willem-versluijsschool/,Prot. christelijk,191.0,Aagtekerke,Basic School,72.6,55.8,98.4,94.7
Christelijke Basisschool de Schutse,Paardelandsdrift 9,/basisscholen/aalden/9661/christelijke-basisschool-de-schutse/,Prot. christelijk,62.0,Aalden,Basic School,73.3,61.1,100.0,96.0
De Smeltkroes eerste opvangonderwijs anderstaligen,Witte Zandpad 1,/basisscholen/aalden/6878/de-smeltkroes-eerste-opvangonderwijs-anderstaligen/,Openbaar Basisonderwijs57,57.0,Aalden,Basic School,4.1,9.4,100.0,0.1
Openbare Basisschool De Anwende,Paardelandsdrift 5,/basisscholen/aalden/6879/openbare-basisschool-de-anwende/,Openbaar Basisonderwijs117,117.0,Aalden,Basic School,49.0,61.1,93.5,96.0
Jozefschool Katholiek Basisonderwijs,Gerberastraat 2,/basisscholen/aalsmeer/8825/jozefschool-katholiek-basisonderwijs/,Katholiek Basisonderwijs436,436.0,Aalsmeer,Basic School,67.5,63.6,97.0,96.4
Rooms Katholieke Basisschool Oosteinder,Catharina-Amalialaan 66 B,/basisscholen/aalsmeer/8827/rooms-katholieke-basisschool-oosteinder/,Katholiek Basisonderwijs373,373.0,Aalsmeer,Basic School,68.3,64.7,96.9,96.7
IKC Triade,Dreef 1A,/basisscholen/aalsmeer/24314/ikc-triade/,Prot. christelijk,376.0,Aalsmeer,Basic School,60.5,58.3,98.3,95.4
De Brug,Catharina-Amalialaan 66 D,/basisscholen/aalsmeer/24358/de-brug/,Prot. christelijk,173.0,Aalsmeer,Basic School,69.7,62.0,97.0,96.4
Openbare Basisschool Samen Een,Schoolstraat 15,/basisscholen/aalsmeer/6586/openbare-basisschool-samen-een/,Openbaar Basisonderwijs188,188.0,Aalsmeer,Basic School,53.6,61.1,93.3,96.0
Openbare Basisschool de Zuidooster,Catharina-Amalialaan 66 A,/basisscholen/aalsmeer/6587/openbare-basisschool-de-zuidooster/,Openbaar Basisonderwijs254,254.0,Aalsmeer,Basic School,62.9,62.0,97.0,96.4
Openbare Basisschool Den Boogerd,Donkerstraat 17,/basisscholen/aalst/6912/openbare-basisschool-den-boogerd/,Openbaar Basisonderwijs83,83.0,Aalst,Basic School,64.8,55.8,96.2,94.7
School met de Bijbel 'De Burcht',Oranjestraat 1 A,/basisscholen/aalst/23225/school-met-de-bijbel-de-burcht/,Prot. christelijk,97.0,Aalst,Basic School,54.7,55.8,90.6,94.7
SBO nieuwHessen,Hessenweg 4,/basisscholen/aalten/7221/sbo-nieuwhessen/,Prot. christelijk,73.0,Aalten,Basic School,25.0,9.3,33.3,25.0
Christelijke Basisschool Barlo,Markerinkdijk 18,/basisscholen/aalten/11090/christelijke-basisschool-barlo/,Prot. christelijk,49.0,Aalten,Basic School,51.5,59.2,89.4,95.6
Chr. Daltonschool de Klimop,Schooldijk 21,/basisscholen/aalten/7223/chr-daltonschool-de-klimop/,Prot. christelijk,61.0,Aalten,Basic School,75.3,57.9,98.8,95.3
Christelijke Basisschool 't Möllenveld,Haartseweg 12 A,/basisscholen/aalten/7226/christelijke-basisschool-t-mollenveld/,Prot. christelijk,44.0,Aalten,Basic School,56.8,58.3,91.4,95.4
Christelijke Daltonschool 't Warmelinck,Kruisdijk 17,/basisscholen/aalten/7229/christelijke-daltonschool-t-warmelinck/,Prot. christelijk,54.0,Aalten,Basic School,64.9,60.8,93.0,96.0
IKC UnieK,Vondelstraat 11a/b,/basisscholen/aalten/7230/ikc-uniek/,Prot. christelijk,143.0,Aalten,Basic School,58.0,55.3,95.1,94.4
Protestants Christelijke Basisschool Groen van Prinsterer,Ludgerstraat 86,/basisscholen/aalten/11093/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijk,324.0,Aalten,Basic School,64.4,59.2,96.7,95.6
IKC De Triangel,Dalweg 18,/basisscholen/aalten/11095/ikc-de-triangel/,Prot. christelijk,336.0,Aalten,Basic School,67.5,61.1,95.1,96.0
Basisschool St. Jozef,Dijkstraat 6,/basisscholen/aalten/7650/basisschool-st-jozef/,Katholiek Basisonderwijs111,111.0,Aalten,Basic School,54.5,55.8,91.7,94.7
Openbare Basisschool De Slinger,Wehmerstraat 21,/basisscholen/aalten/26342/openbare-basisschool-de-slinger/,Openbaar Basisonderwijs135,135.0,Aalten,Basic School,56.0,58.3,97.2,95.4
Basisschool Op Dreef,Hennequinstraat 1,/basisscholen/aardenburg/26404/basisschool-op-dreef/,Katholiek Basisonderwijs106,106.0,Aardenburg,Basic School,57.5,58.3,95.8,95.4
Protestants Christelijke Basisschool De Viergang,Jacob van Damstraat 24,/basisscholen/aarlanderveen/21148/protestants-christelijke-basisschool-de-viergang/,Prot. christelijk,63.0,Aarlanderveen,Basic School,65.4,59.2,98.8,95.6
Kindcentrum Breinplein,Schoolstraat 1,/basisscholen/aarle-rixtel/5309/kindcentrum-breinplein/,Katholiek Basisonderwijs190,190.0,Aarle-Rixtel,Basic School,57.1,62.0,97.6,96.4
Openbare Basisschool de Driehoek,Schoolstraat 1b,/basisscholen/aarle-rixtel/7413/openbare-basisschool-de-driehoek/,Openbaar Basisonderwijs163,163.0,Aarle-Rixtel,Basic School,53.2,62.0,95.0,96.4
Openbare Basisschool de Dubbele Punt,Koetenburg 14,/basisscholen/aartswoud/10147/openbare-basisschool-de-dubbele-punt/,Openbaar Basisonderwijs29,29.0,Aartswoud,Basic School,64.8,10.5,22.2,77.8
Openbare Basisschool de Plaats,Schoolwerf 1,/basisscholen/abbekerk/6234/openbare-basisschool-de-plaats/,Openbaar Basisonderwijs127,127.0,Abbekerk,Basic School,52.3,58.8,92.8,95.4
Openbare Basisschool De Vliegerdt,Achterweg ZZ 2c,/basisscholen/abbenbroek/6685/openbare-basisschool-de-vliegerdt/,Openbaar Basisonderwijs65,65.0,Abbenbroek,Basic School,52.0,55.8,100.0,94.7
IKC De Lente,Langerak 42,/basisscholen/abbenes/23476/ikc-de-lente/,Algemeen bijzonder,51.0,Abbenes,Basic School,57.1,50.4,95.2,92.8
Christelijk NAT Basisschool Abcoude,Blomswaard 2,/basisscholen/abcoude/5808/christelijk-nat-basisschool-abcoude/,Prot. christelijk,212.0,Abcoude,Basic School,73.8,70.3,99.6,97.6
Piet Mondriaan,Broekzijdselaan 46 A,/basisscholen/abcoude/7308/piet-mondriaan/,Openbaar Basisonderwijs396,396.0,Abcoude,Basic School,75.5,68.0,98.5,97.3
KBs Pius,Broekzijdselaan 3,/basisscholen/abcoude/11854/kbs-pius/,Katholiek Basisonderwijs183,183.0,Abcoude,Basic School,62.0,66.8,94.9,97.0
KBs Paulus,Koppeldijk 30,/basisscholen/abcoude/11856/kbs-paulus/,Katholiek Basisonderwijs208,208.0,Abcoude,Basic School,81.3,77.7,99.6,98.7
IKC it iepen finster,Dorpsstraat 4 B,/basisscholen/achlum/23309/ikc-it-iepen-finster/,Samenwerking Basisonderwijs60,60.0,Achlum,Basic School,63.4,55.8,100.0,94.7
Basisschool het Startblok,Jan van Arkelweg 12,/basisscholen/achterveld-utrecht/11280/basisschool-het-startblok/,Openbaar Basisonderwijs115,115.0,Achterveld (Utrecht),Basic School,71.6,62.0,96.9,96.4
St. Jozefschool,Walter van Amersfoortstr 38,/basisscholen/achterveld-utrecht/8013/st-jozefschool/,Katholiek Basisonderwijs117,117.0,Achterveld (Utrecht),Basic School,69.2,55.8,98.7,94.7
Rooms Katholieke Basisschool De Achtsprong,Kloosterstraat 31,/basisscholen/achthuizen/7208/rooms-katholieke-basisschool-de-achtsprong/,Katholiek Basisonderwijs48,48.0,Achthuizen,Basic School,56.0,59.2,92.9,95.6
RK Basisschool De Wegwijzer,van den Berghstraat 2b,/basisscholen/achtmaal/12129/rk-basisschool-de-wegwijzer/,Katholiek Basisonderwijs119,119.0,Achtmaal,Basic School,59.8,55.8,100.0,94.7
IKC Basisschool De Wierde,Kleine Straat 8,/basisscholen/adorp/8249/ikc-basisschool-de-wierde/,Openbaar Basisonderwijs56,56.0,Adorp,Basic School,52.6,63.6,98.7,96.4
SWS De Adeborg,Kleiweg 1 -3,/basisscholen/aduard/6697/sws-de-adeborg/,Samenwerking Basisonderwijs122,122.0,Aduard,Basic School,66.0,60.8,96.6,96.0
Openbare Basisschool Vondelschool,Juliana van Stolberglaan 25,/basisscholen/aerdenhout/10392/openbare-basisschool-vondelschool/,Openbaar Basisonderwijs272,272.0,Aerdenhout,Basic School,79.9,77.7,98.5,98.7
Antoniusschool voor Basisonderwijs,Teding van Berkhoutlaan 20,/basisscholen/aerdenhout/8112/antoniusschool-voor-basisonderwijs/,Katholiek Basisonderwijs220,220.0,Aerdenhout,Basic School,90.9,77.6,100.0,98.8
Tijo H. van Eeghenschool,Van Lennepweg 2,/basisscholen/aerdenhout/8552/tijo-h-van-eeghenschool/,Samenwerking Basisonderwijs219,219.0,Aerdenhout,Basic School,76.2,77.6,97.2,98.8
Schoolvereniging Aerdenhout Bentveld,Mr. H. Enschedeweg 22,/basisscholen/aerdenhout/8611/schoolvereniging-aerdenhout-bentveld/,Algemeen bijzonder,128.0,Aerdenhout,Basic School,69.8,77.7,98.6,98.7
Sint Victorschool,De Gaard 19,/basisscholen/afferden-gelderland/6024/sint-victorschool/,Katholiek Basisonderwijs123,123.0,Afferden (Gelderland),Basic School,65.2,61.1,98.5,96.0
basisschool 't Diekske,Langstraat 6 A,/basisscholen/afferden-limburg/23858/basisschool-t-diekske/,Katholiek Basisonderwijs112,112.0,Afferden (Limburg),Basic School,75.3,57.9,98.7,95.3
'n Baoken,Heggelkampsweg 4,/basisscholen/agelo/12008/n-baoken/,Katholiek Basisonderwijs29,29.0,Agelo,Basic School,47.9,59.2,93.8,95.6
Basisschool Rembrandt,Mozartlaan 65,/basisscholen/akersloot/5831/basisschool-rembrandt/,Openbaar Basisonderwijs156,156.0,Akersloot,Basic School,83.9,58.3,99.4,95.4
Kindcentrum De Brug,Buurtweg 20,/basisscholen/akersloot/8145/kindcentrum-de-brug/,Katholiek Basisonderwijs207,207.0,Akersloot,Basic School,70.3,61.1,98.4,96.0
CBS Dominee Hasperschool,De Stringen 3,/basisscholen/akkrum/22562/cbs-dominee-hasperschool/,Prot. christelijk,120.0,Akkrum,Basic School,77.5,63.6,97.5,96.4
obs Akkrum,De Stringen 1,/basisscholen/akkrum/23333/obs-akkrum/,Openbaar Basisonderwijs213,213.0,Akkrum,Basic School,55.4,60.8,93.9,96.0
Rooms Katholieke Basisschool Kadoes,De Weer 11,/basisscholen/albergen/7870/rooms-katholieke-basisschool-kadoes/,Katholiek Basisonderwijs258,258.0,Albergen,Basic School,63.4,61.1,97.6,96.0
Ds Joannes Beukelmanschool,Rembrandtlaan 100,/basisscholen/alblasserdam/5023/ds-joannes-beukelmanschool/,Prot. christelijk,563.0,Alblasserdam,Basic School,55.8,55.8,95.5,94.7
IKC Het Palet,Van Eesterensingel 197,/basisscholen/alblasserdam/26336/ikc-het-palet/,Openbaar Basisonderwijs216,216.0,Alblasserdam,Basic School,53.9,55.3,92.6,94.4
IKC 't Nokkenwiel,Boerenpad 1,/basisscholen/alblasserdam/26338/ikc-t-nokkenwiel/,Openbaar Basisonderwijs283,283.0,Alblasserdam,Basic School,47.8,55.3,91.3,94.4
Christelijk IKC De Schalm,Kerkstraat 60,/basisscholen/alblasserdam/8450/christelijk-ikc-de-schalm/,Prot. christelijk,223.0,Alblasserdam,Basic School,68.4,59.2,96.5,95.6
Christelijk IKC De Twijn,Parallelweg 2,/basisscholen/alblasserdam/12184/christelijk-ikc-de-twijn/,Prot. christelijk,422.0,Alblasserdam,Basic School,57.3,59.2,93.8,95.6
Protestants Christelijke Basisschool Het Kompas,Scheepsbouwplein 10,/basisscholen/alblasserdam/12210/protestants-christelijke-basisschool-het-kompas/,Prot. christelijk,241.0,Alblasserdam,Basic School,55.0,59.2,95.1,95.6
Christelijke basisschool de Finne,Jancko Douwamastrjitte 45,/basisscholen/aldeboarn/22556/christelijke-basisschool-de-finne/,Prot. christelijk,75.0,Aldeboarn,Basic School,62.1,61.1,96.6,96.0
De Boarne,Tsjerkebuorren 10,/basisscholen/aldeboarn/23332/de-boarne/,Openbaar Basisonderwijs71,71.0,Aldeboarn,Basic School,49.6,58.8,97.9,95.4
Sinnehonk,Van Sminiaweg 114 B,/basisscholen/aldtsjerk/10965/sinnehonk/,Openbaar Basisonderwijs39,39.0,Aldtsjerk,Basic School,74.4,61.1,97.4,96.0
Basisschool De Tarissing Christelijk Basisonderwijs,De Wygeast 10,/basisscholen/aldwâld/25596/basisschool-de-tarissing-christelijk-basisonderwijs/,Prot. christelijk,63.0,Aldwâld,Basic School,73.3,55.8,98.7,94.7
Odradaschool,Sint Odradastraat 14,/basisscholen/alem/5794/odradaschool/,Katholiek Basisonderwijs32,32.0,Alem,Basic School,68.6,61.1,100.0,96.0
Burgemeester de Wildeschool (Alkmaar),Gabriël Metsulaan 34,/basisscholen/alkmaar/23774/burgemeester-de-wildeschool-alkmaar/,Openbaar Speciaal,18.0,Alkmaar,Basic School,,,,
An Nasr,Tooroplaan 1,/basisscholen/alkmaar/9174/an-nasr/,Confessioneel overig,131.0,Alkmaar,Basic School,71.2,47.6,98.2,91.7
DURF,Elgerweg 39,/basisscholen/alkmaar/5399/durf/,Prot. christelijk,296.0,Alkmaar,Basic School,39.3,52.4,92.3,93.6
De Alk,Van Harenlaan 23,/basisscholen/alkmaar/5498/de-alk/,Algemeen bijzonder,128.0,Alkmaar,Basic School,70.9,7.5,12.5,87.5
Rudolf Steinerschool,Sperwerstraat 1,/basisscholen/alkmaar/5990/rudolf-steinerschool/,Algemeen bijzonder,205.0,Alkmaar,Basic School,62.9,64.7,93.9,96.7
1e Montessorischool Alkmaar,Arkplein 123,/basisscholen/alkmaar/26045/1e-montessorischool-alkmaar/,Algemeen bijzonder,102.0,Alkmaar,Basic School,45.5,55.8,90.9,94.7
De Rank,Beethovensingel 19,/basisscholen/alkmaar/6964/de-rank/,Prot. christelijk,121.0,Alkmaar,Basic School,61.6,63.6,92.5,96.4
Openbare Basisschool Jules Verne,Drechterwaard 9,/basisscholen/alkmaar/11336/openbare-basisschool-jules-verne/,Openbaar Basisonderwijs192,192.0,Alkmaar,Basic School,64.3,55.6,95.8,94.4
Openbare Basisschool Liereland,Toscanestraat 4,/basisscholen/alkmaar/11337/openbare-basisschool-liereland/,Openbaar Basisonderwijs170,170.0,Alkmaar,Basic School,52.4,54.5,94.7,94.2
Montessorischool De Cilinder,Johanna Naberstraat 81,/basisscholen/alkmaar/22131/montessorischool-de-cilinder/,Openbaar Basisonderwijs92,92.0,Alkmaar,Basic School,57.8,55.8,93.1,94.7
Openbare Basisschool De Fontein,Heilooerdijk 136,/basisscholen/alkmaar/11338/openbare-basisschool-de-fontein/,Openbaar Basisonderwijs89,89.0,Alkmaar,Basic School,58.1,46.0,97.7,91.1
Openbare Basisschool De Zes Wielen,Munnikenweg 18,/basisscholen/alkmaar/11339/openbare-basisschool-de-zes-wielen/,Openbaar Basisonderwijs434,434.0,Alkmaar,Basic School,47.6,58.3,93.5,95.4
Openbare Basisschool De Vlieger,Sneeuwgansstraat 18,/basisscholen/alkmaar/7533/openbare-basisschool-de-vlieger/,Openbaar Basisonderwijs234,234.0,Alkmaar,Basic School,60.0,58.3,92.1,95.4
Openbare Vroonermeerschool,P.C. Boutensstraat 4,/basisscholen/alkmaar/24873/openbare-vroonermeerschool/,Openbaar Basisonderwijs94,94.0,Alkmaar,Basic School,75.0,62.0,100.0,96.4
Openbare Basisschool De Sterrenwachter,Stempelmakerstraat 19,/basisscholen/alkmaar/7534/openbare-basisschool-de-sterrenwachter/,Openbaar Basisonderwijs65,65.0,Alkmaar,Basic School,60.3,58.3,96.8,95.4
Openbare Basisschool De Kennemerpoort,Hofdijkstraat 12,/basisscholen/alkmaar/11341/openbare-basisschool-de-kennemerpoort/,Openbaar Basisonderwijs279,279.0,Alkmaar,Basic School,70.9,64.7,95.5,96.7
obs De Kennemerpoort,Lindenlaan 101,/basisscholen/alkmaar/22134/obs-de-kennemerpoort/,Openbaar Basisonderwijs186,186.0,Alkmaar,Basic School,63.5,64.7,95.0,96.7
obs Bello voor Jenaplanonderwijs,Snaarmanslaan 19,/basisscholen/alkmaar/22135/obs-bello-voor-jenaplanonderwijs/,Openbaar Basisonderwijs160,160.0,Alkmaar,Basic School,47.7,62.0,93.2,96.4
Openbare Basisschool Nicolaas Beets locatie Beethovensingel,Beethovensingel 17-21,/basisscholen/alkmaar/11342/openbare-basisschool-nicolaas-beets-locatie-beethovensingel/,Openbaar Basisonderwijs398,398.0,Alkmaar,Basic School,75.7,63.6,97.7,96.4
Openbare Basisschool Nicolaas Beets locatie de Hoef,Judith Leysterstraat 4,/basisscholen/alkmaar/21136/openbare-basisschool-nicolaas-beets-locatie-de-hoef/,Openbaar Basisonderwijs62,62.0,Alkmaar,Basic School,56.4,63.6,92.3,96.4
De Stip,Slochterwaard 179,/basisscholen/alkmaar/26690/de-stip/,Openbaar Speciaal,31.0,Alkmaar,Basic School,,,,
Spinaker SO Alkmaar,Kortenaerkade 22,/basisscholen/alkmaar/25327/spinaker-so-alkmaar/,Openbaar Speciaal,118.0,Alkmaar,Basic School,,,,
School voor Speciaal Basisonderwijs De Piramide,Slochterwaard 179,/basisscholen/alkmaar/7538/school-voor-speciaal-basisonderwijs-de-piramide/,Openbaar Speciaal,151.0,Alkmaar,Basic School,13.3,10.0,20.0,36.7
Openbare Basisschool de Cocon,Pater Schiphorststraat 1,/basisscholen/alkmaar/7539/openbare-basisschool-de-cocon/,Openbaar Basisonderwijs209,209.0,Alkmaar,Basic School,57.1,61.1,96.3,96.0
Rooms Katholieke Basisschool St Adelbertus,Nieuwlandersingel 40,/basisscholen/alkmaar/7949/rooms-katholieke-basisschool-st-adelbertus/,Katholiek Basisonderwijs483,483.0,Alkmaar,Basic School,60.1,64.2,96.0,96.5
Rooms Katholieke Basisschool De Regenboog,Tochtwaard 14,/basisscholen/alkmaar/11766/rooms-katholieke-basisschool-de-regenboog/,Katholiek Basisonderwijs272,272.0,Alkmaar,Basic School,65.0,58.4,95.1,95.4
Rooms Katholieke Basisschool Kard de Jong,Amalia van Solmsstraat 91,/basisscholen/alkmaar/7950/rooms-katholieke-basisschool-kard-de-jong/,Katholiek Basisonderwijs215,215.0,Alkmaar,Basic School,52.7,52.4,92.2,93.6
Rooms Katholieke Basisschool De Kring,Koornlaan 2,/basisscholen/alkmaar/7951/rooms-katholieke-basisschool-de-kring/,Katholiek Basisonderwijs340,340.0,Alkmaar,Basic School,56.8,63.6,93.2,96.4
Rooms Katholieke Basisschool Matthias,Spieghelplein 45,/basisscholen/alkmaar/11768/rooms-katholieke-basisschool-matthias/,Katholiek Basisonderwijs172,172.0,Alkmaar,Basic School,34.6,48.5,89.7,92.0
Rooms Katholieke Basisschool De Wegwijzer,Percivalstraat 3,/basisscholen/alkmaar/26490/rooms-katholieke-basisschool-de-wegwijzer/,Overige Basisonderwijs192,192.0,Alkmaar,Basic School,49.1,44.6,96.5,90.8
Rooms katholieke Basisschool De Driemaster,Gabriel Metsulaan 36,/basisscholen/alkmaar/7952/rooms-katholieke-basisschool-de-driemaster/,Katholiek Basisonderwijs290,290.0,Alkmaar,Basic School,45.5,58.3,91.3,95.4
Rooms Katholieke Basisschool 't Baeken,Faktorij 123,/basisscholen/alkmaar/7954/rooms-katholieke-basisschool-t-baeken/,Katholiek Basisonderwijs264,264.0,Alkmaar,Basic School,50.9,58.3,91.5,95.4
RKBS de Burijn,Stempelmakerstraat 20,/basisscholen/alkmaar/7955/rkbs-de-burijn/,Katholiek Basisonderwijs237,237.0,Alkmaar,Basic School,39.4,58.8,91.1,95.4
Rooms Katholieke Basisschool Het Kompas,Kofschipstraat 11,/basisscholen/alkmaar/11770/rooms-katholieke-basisschool-het-kompas/,Katholiek Basisonderwijs222,222.0,Alkmaar,Basic School,55.9,59.2,96.2,95.6
Oecumenische school voor Speciaal Basisonderwijs De Vlindertuin,Slochterwaard 176,/basisscholen/alkmaar/7956/oecumenische-school-voor-speciaal-basisonderwijs-de-vlindertuin/,Samenwerking Speciaal,104.0,Alkmaar,Basic School,7.0,9.3,20.9,51.2
Rooms Katholieke Basisschool Erasmus,J.M.P.de Biestraat 2 -4,/basisscholen/alkmaar/7957/rooms-katholieke-basisschool-erasmus/,Katholiek Basisonderwijs164,164.0,Alkmaar,Basic School,46.0,59.2,92.9,95.6
De Lispeltuut,P.C.Boutensstraat 4,/basisscholen/alkmaar/24863/de-lispeltuut/,Katholiek Basisonderwijs296,296.0,Alkmaar,Basic School,56.6,62.0,95.4,96.4
Montessori Basisschool,Jan Janslaan 4,/basisscholen/almelo/24276/montessori-basisschool/,Openbaar Basisonderwijs126,126.0,Almelo,Basic School,56.3,61.1,100.0,96.0
Basisschool St Egbertus,Arendsboerweg 5,/basisscholen/almelo/8686/basisschool-st-egbertus/,Katholiek Basisonderwijs181,181.0,Almelo,Basic School,61.7,44.6,95.5,90.8
De Noorderborch,Havezathe 99,/basisscholen/almelo/8687/de-noorderborch/,Katholiek Basisonderwijs301,301.0,Almelo,Basic School,60.0,55.6,96.5,94.4
Basisschool De Wereldboom,Bosrand 6,/basisscholen/almelo/4763/basisschool-de-wereldboom/,Katholiek Basisonderwijs169,169.0,Almelo,Basic School,63.4,52.4,99.3,93.6
Basisschool De Compaan,Maardijk 83 a,/basisscholen/almelo/4764/basisschool-de-compaan/,Katholiek Basisonderwijs163,163.0,Almelo,Basic School,47.3,51.0,96.4,92.9
Het Mozaïek,Beverdamlaan 11,/basisscholen/almelo/8770/het-mozaiek/,Algemeen bijzonder,100.0,Almelo,Basic School,70.9,7.5,21.7,78.3
De Rietpluim,Speenkruidpad 2,/basisscholen/almelo/23317/de-rietpluim/,Algemeen bijzonder,52.0,Almelo,Basic School,,,,
De Zegge,Apollolaan 1 c,/basisscholen/almelo/10297/de-zegge/,Prot. christelijk,310.0,Almelo,Basic School,42.8,48.5,91.9,92.0
De Heemde,Hanzelaan 2,/basisscholen/almelo/10298/de-heemde/,Prot. christelijk,204.0,Almelo,Basic School,45.3,58.3,95.9,95.4
De Wierde,Suze Robertsonlaan 2,/basisscholen/almelo/10299/de-wierde/,Prot. christelijk,138.0,Almelo,Basic School,64.6,48.4,97.3,92.1
De Telgenborch,Everlo 12,/basisscholen/almelo/6342/de-telgenborch/,Prot. christelijk,197.0,Almelo,Basic School,50.2,52.4,94.8,93.6
De Huve,De Kolibrie 22,/basisscholen/almelo/6343/de-huve/,Prot. christelijk,195.0,Almelo,Basic School,54.4,55.8,96.4,94.7
Protestants Christelijke Basisschool De Mare,De Rotsduif 22,/basisscholen/almelo/10301/protestants-christelijke-basisschool-de-mare/,Prot. christelijk,381.0,Almelo,Basic School,59.3,61.1,93.2,96.0
De Tandem,Havezathe 97,/basisscholen/almelo/6534/de-tandem/,Openbaar Basisonderwijs144,144.0,Almelo,Basic School,53.7,55.4,93.8,94.5
NT2-basisschool Het Palet,Catharina van Renneslaan 128,/basisscholen/almelo/21859/nt2-basisschool-het-palet/,Openbaar Basisonderwijs,,Almelo,Basic School,79.2,0.1,4.2,8.3
Het Letterveld,Hedeveld 1-3,/basisscholen/almelo/10483/het-letterveld/,Openbaar Basisonderwijs233,233.0,Almelo,Basic School,57.3,52.4,91.7,93.6
De Windhoek,Windslaan 14,/basisscholen/almelo/10484/de-windhoek/,Openbaar Basisonderwijs454,454.0,Almelo,Basic School,52.4,58.3,93.8,95.4
Basisschool De Weier,Vissedijk 35C,/basisscholen/almelo/6536/basisschool-de-weier/,Openbaar Basisonderwijs389,389.0,Almelo,Basic School,73.2,59.2,97.9,95.6
De Stapvoorde,De Kolibrie 24,/basisscholen/almelo/10485/de-stapvoorde/,Openbaar Basisonderwijs168,168.0,Almelo,Basic School,71.0,52.4,97.6,93.6
Openbare Basisschool de Kubus,Hoornbladstraat 35,/basisscholen/almelo/10486/openbare-basisschool-de-kubus/,Openbaar Basisonderwijs162,162.0,Almelo,Basic School,45.3,48.5,91.5,92.0
Step!,Jacob van Campenstraat 2,/basisscholen/almelo/6537/step/,Openbaar Basisonderwijs108,108.0,Almelo,Basic School,46.7,43.4,90.7,89.6
OBS de Bonkelaar,De Rotsduif 26,/basisscholen/almelo/10487/obs-de-bonkelaar/,Openbaar Basisonderwijs411,411.0,Almelo,Basic School,72.1,55.3,98.5,94.4
Gereformeerde Basisschool De Fakkel,Karel Doormanstraat 2,/basisscholen/almelo/10736/gereformeerde-basisschool-de-fakkel/,Prot. christelijk,131.0,Almelo,Basic School,51.1,61.1,95.0,96.0
Speciale School voor Basisonderwijs De Welle,Winkelsteeg 6,/basisscholen/almelo/24742/speciale-school-voor-basisonderwijs-de-welle/,Algemeen bijzonder,218.0,Almelo,Basic School,7.8,3.9,7.8,35.3
Basisschool Vrije School Almelo,Biesterweg 6,/basisscholen/almelo/12111/basisschool-vrije-school-almelo/,Algemeen bijzonder,210.0,Almelo,Basic School,56.9,62.0,96.9,96.4
SO De Wissel (speciaal onderwijs -cluster4),Vriezenveenseweg 229,/basisscholen/almelo/12242/so-de-wissel-speciaal-onderwijs-cluster4/,Confessioneel overig,79.0,Almelo,Basic School,,,,
Dr Herderscheeschool,Schapendijk 3,/basisscholen/almelo/24739/dr-herderscheeschool/,Algemeen bijzonder,135.0,Almelo,Basic School,,,,
Julianaschool,Dorpsstraat 32,/basisscholen/almen/11417/julianaschool/,Openbaar Basisonderwijs68,68.0,Almen,Basic School,51.5,63.3,89.4,96.3
Alexander Roozendaalschool (Almere),Prokofjevstraat 3,/basisscholen/almere/23773/alexander-roozendaalschool-almere/,Openbaar Speciaal,85.0,Almere,Basic School,,,,
Shri Ganesha School,Regentesseweg 1,/basisscholen/almere/23141/shri-ganesha-school/,Confessioneel overig,110.0,Almere,Basic School,71.0,51.0,96.9,92.9
Nautilus College - Radioweg,Radioweg 35,/basisscholen/almere/4998/nautilus-college-radioweg/,Algemeen bijzonder,,Almere,Basic School,,,,
Nautilus SO,J.J. Slauerhoffstraat 51,/basisscholen/almere/26221/nautilus-so/,Algemeen bijzonder,70.0,Almere,Basic School,,,,
Islamitische Basisschool Al Iman,Harderwijkoever 3,/basisscholen/almere/9087/islamitische-basisschool-al-iman/,Confessioneel overig,356.0,Almere,Basic School,50.6,51.0,93.5,92.9
Basisschool De Ark,Middenhof 210,/basisscholen/almere/9089/basisschool-de-ark/,Prot. christelijk,169.0,Almere,Basic School,51.4,48.4,92.1,92.1
Basisschool de Driemaster,Tegelenpad 2,/basisscholen/almere/9090/basisschool-de-driemaster/,Prot. christelijk,161.0,Almere,Basic School,55.3,51.0,92.4,92.9
Basisschool de Ichthus,Rijnweg 10,/basisscholen/almere/5196/basisschool-de-ichthus/,Prot. christelijk,123.0,Almere,Basic School,66.7,55.8,94.7,94.7
Basisschool PCB Het Kompas,Binnenkruierstraat 5,/basisscholen/almere/5197/basisschool-pcb-het-kompas/,Prot. christelijk,133.0,Almere,Basic School,53.0,48.4,94.0,92.1
