name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
Openbare Basisschool de Hietweide,Jachtlustplein 30b,/basisscholen/twello/6665/openbare-basisschool-de-hietweide/,Openbaar Basisonderwijs129,129.0,Twello,Basic School,81.3,58.3,100.0,95.4
Basisschool Martinus,Kerklaan 12,/basisscholen/twello/7648/basisschool-martinus/,Katholiek Basisonderwijs363,363.0,Twello,Basic School,64.9,63.3,96.9,96.3
De Kleine Wereld,Jachtlustplein 30C,/basisscholen/twello/11452/de-kleine-wereld/,Katholiek Basisonderwijs178,178.0,Twello,Basic School,59.0,62.0,95.3,96.4
De Oase,Jachtlustplein 30 a,/basisscholen/twello/11543/de-oase/,Prot. christelijk,191.0,Twello,Basic School,52.0,62.0,93.0,96.4
De Wingerd,H.W. Iordensweg 9,/basisscholen/twello/7745/de-wingerd/,Prot. christelijk,206.0,Twello,Basic School,56.7,64.7,93.1,96.7
CBS de Oanrin,Piterpolle 29,/basisscholen/twijzel/9586/cbs-de-oanrin/,Prot. christelijk,75.0,Twijzel,Basic School,35.6,51.5,94.3,93.3
Christelijke Basisschool De Reinboge,Skoalstrjitte 1,/basisscholen/twijzelerheide/5706/christelijke-basisschool-de-reinboge/,Prot. christelijk,139.0,Twijzelerheide,Basic School,52.9,52.4,94.2,93.6
It Twaspan,Skoalstrjitte 4,/basisscholen/twijzelerheide/10371/it-twaspan/,Openbaar Basisonderwijs47,47.0,Twijzelerheide,Basic School,57.4,46.0,96.3,91.1
Basisschool de Klaverwoid,Beukenlaan 79,/basisscholen/twisk/10148/basisschool-de-klaverwoid/,Openbaar Basisonderwijs74,74.0,Twisk,Basic School,51.8,58.8,89.5,95.4
IKC Het Oelebred,Rozenstraat 18,/basisscholen/tynaarlo/11189/ikc-het-oelebred/,Openbaar Basisonderwijs131,131.0,Tynaarlo,Basic School,57.9,62.0,98.4,96.4
Ontmoetingsschool de Romte,Reidfjild 4,/basisscholen/tytsjerk/7095/ontmoetingsschool-de-romte/,Samenwerking Basisonderwijs132,132.0,Tytsjerk,Basic School,78.6,59.2,98.3,95.6
IKC Staetlânskoalle,Smidsreed 8,/basisscholen/tzum/23311/ikc-staetlanskoalle/,Prot. christelijk,87.0,Tzum,Basic School,63.6,58.3,96.0,95.4
Waadwizer,Johan Roordastrjitte 41,/basisscholen/tzummarum/25126/waadwizer/,Samenwerking Basisonderwijs94,94.0,Tzummarum,Basic School,63.0,55.3,95.7,94.4
De Berg,Hengstdal 2,/basisscholen/ubbergen/5109/de-berg/,Algemeen bijzonder,97.0,Ubbergen,Basic School,70.9,7.5,31.3,56.3
St. Maartenschool,Hengstdal 3,/basisscholen/ubbergen/25665/st-maartenschool/,Katholiek Speciaal,199.0,Ubbergen,Basic School,70.9,7.5,3.7,85.2
Basisschool Rehoboth,Het Drie 21 -23,/basisscholen/uddel/5122/basisschool-rehoboth/,Prot. christelijk,258.0,Uddel,Basic School,70.4,55.8,97.4,94.7
Christelijke Basisschool Prins Willem Alexander,Uddelsekampweg 1,/basisscholen/uddel/9375/christelijke-basisschool-prins-willem-alexander/,Prot. christelijk,115.0,Uddel,Basic School,37.3,55.3,89.7,94.4
Bedir,Klarinetstraat 4,/basisscholen/uden/5021/bedir/,Confessioneel overig,106.0,Uden,Basic School,47.9,44.7,94.8,90.8
Dalton kindcentrum Marimba,Steenovenstraat 2,/basisscholen/uden/8973/dalton-kindcentrum-marimba/,Katholiek Basisonderwijs197,197.0,Uden,Basic School,50.9,59.2,95.4,95.6
Kindcentrum Aventurijn Onderwijs-Opvang-Sociaal domein,St. Annastraat 17,/basisscholen/uden/8976/kindcentrum-aventurijn-onderwijs-opvang-sociaal-domein/,Katholiek Basisonderwijs177,177.0,Uden,Basic School,51.8,58.3,92.6,95.4
Basisschool De Palster,Germenzeel 500,/basisscholen/uden/5101/basisschool-de-palster/,Katholiek Basisonderwijs119,119.0,Uden,Basic School,46.9,55.3,91.4,94.4
IKC Raam,Bosveld 118,/basisscholen/uden/8977/ikc-raam/,Katholiek Basisonderwijs265,265.0,Uden,Basic School,52.3,58.3,97.0,95.4
Basisschool Het Speleon,Klarinetstraat 4,/basisscholen/uden/8978/basisschool-het-speleon/,Katholiek Basisonderwijs158,158.0,Uden,Basic School,61.1,55.8,96.7,94.7
Basisschool 't Centrum,Meerloseweg 1,/basisscholen/uden/5102/basisschool-t-centrum/,Katholiek Basisonderwijs117,117.0,Uden,Basic School,55.6,55.8,95.2,94.7
Basisschool De Vlonder,Heufkens 502,/basisscholen/uden/5103/basisschool-de-vlonder/,Katholiek Basisonderwijs225,225.0,Uden,Basic School,55.9,63.6,94.1,96.4
