,name,address,link,details,n_students,neighborhood,type
0,Yuverta vmbo Aalsmeer,Jac. P. Thijsselaan 18,/middelbare-scholen/aalsmeer/1713/yuverta-vmbo-aalsmeer/,OverigeVoortgezet onderwijs535 leerlingen,535,Aalsmeer,Middle School
1,Yuverta mavo Aalsmeer,1e J.C. Mensinglaan 40,/middelbare-scholen/aalsmeer/1717/yuverta-mavo-aalsmeer/,OverigeVoortgezet onderwijs491 leerlingen,491,Aalsmeer,Middle School
2,Chr Coll Schaersvoorde,Slingelaan 28,/middelbare-scholen/aalten/3289/chr-coll-schaersvoorde/,Prot. christelijkVoortgezet onderwijs1019 leerlingen,1019,Aalten,Middle School
3,Chr Coll Schaersvoorde,Landbouwstraat 1,/middelbare-scholen/aalten/23137/chr-coll-schaersvoorde/,Prot. christelijkVoortgezet onderwijs382 leerlingen,382,Aalten,Middle School
4,Montessori College Aerdenhout,Boekenroodeweg 5,/middelbare-scholen/aerdenhout/2536/montessori-college-aerdenhout/,SamenwerkingVoortgezet onderwijs427 leerlingenMontessori,427,Aerdenhout,Middle School
5,OSG Willem Blaeu,Robonsbosweg 11,/middelbare-scholen/alkmaar/481/osg-willem-blaeu/,OpenbaarVoortgezet onderwijs761 leerlingen,761,Alkmaar,Middle School
6,"osg Willem Blaeu, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/482/osg-willem-blaeu-vestiging-van-der-meij-college/,OpenbaarVoortgezet onderwijs219 leerlingen,219,Alkmaar,Middle School
7,De Viaan (praktijkonderwijs),Havinghastraat 11,/middelbare-scholen/alkmaar/491/de-viaan-praktijkonderwijs/,OpenbaarVoortgezet onderwijs220 leerlingen,220,Alkmaar,Middle School
8,Stedelijk Dalton College Alkmaar,Arubastraat 4,/middelbare-scholen/alkmaar/493/stedelijk-dalton-college-alkmaar/,OpenbaarVoortgezet onderwijs1015 leerlingenDalton,1015,Alkmaar,Middle School
9,"Stedelijk Dalton College Alkmaar, vestiiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/494/stedelijk-dalton-college-alkmaar-vestiiging-van-der-meij-college/,OpenbaarVoortgezet onderwijs115 leerlingen,115,Alkmaar,Middle School
10,Murmellius Gymnasium,Bergerhout 1,/middelbare-scholen/alkmaar/498/murmellius-gymnasium/,OpenbaarVoortgezet onderwijs758 leerlingen,758,Alkmaar,Middle School
11,Vonk Alkmaar (voorheen Clusius College),Drechterwaard 10,/middelbare-scholen/alkmaar/1343/vonk-alkmaar-voorheen-clusius-college/,OverigeVoortgezet onderwijs528 leerlingen,528,Alkmaar,Middle School
12,Heliomare College Alkmaar,Amstelstraat 5,/middelbare-scholen/alkmaar/24199/heliomare-college-alkmaar/,OverigeVoortgezet speciaal onderwijs184 leerlingen,184,Alkmaar,Middle School
13,"De Spinaker, VSO Alkmaar",Jan Ligthartstraat 7,/middelbare-scholen/alkmaar/11343/de-spinaker-vso-alkmaar/,OpenbaarVoortgezet speciaal onderwijs178 leerlingen,178,Alkmaar,Middle School
14,PCC Het Lyceum,Blekerskade 11,/middelbare-scholen/alkmaar/3028/pcc-het-lyceum/,KatholiekVoortgezet onderwijs1217 leerlingen,1217,Alkmaar,Middle School
15,PCC Fabritius,Fabritiusstraat 1,/middelbare-scholen/alkmaar/3029/pcc-fabritius/,KatholiekVoortgezet onderwijs360 leerlingen,360,Alkmaar,Middle School
16,PCC Oosterhout,Vondelstraat 41,/middelbare-scholen/alkmaar/3030/pcc-oosterhout/,KatholiekVoortgezet onderwijs590 leerlingen,590,Alkmaar,Middle School
17,"CSG Jan Arentsz voor vmbo, havo, vwo",Mandenmakerstraat 11,/middelbare-scholen/alkmaar/3087/csg-jan-arentsz-voor-vmbo-havo-vwo/,Prot. christelijkVoortgezet onderwijs1486 leerlingen,1486,Alkmaar,Middle School
18,"CSG Jan Arentsz, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/3088/csg-jan-arentsz-vestiging-van-der-meij-college/,Prot. christelijkVoortgezet onderwijs95 leerlingen,95,Alkmaar,Middle School
19,Twents Vakcollege MOTA,Plesmanweg 31,/middelbare-scholen/almelo/4852/twents-vakcollege-mota/,Algemeen bijzonderVoortgezet speciaal onderwijs61 leerlingen,61,Almelo,Middle School
20,Omnis College,Cesar Franckstraat 3,/middelbare-scholen/almelo/8771/omnis-college/,Algemeen bijzonderVoortgezet speciaal onderwijs153 leerlingen,153,Almelo,Middle School
21,Pius X College - Aalderinkshoek,Cesar Franckstraat 4,/middelbare-scholen/almelo/897/pius-x-college-aalderinkshoek/,KatholiekVoortgezet onderwijs531 leerlingen,531,Almelo,Middle School
22,Pius X College - Alma College,Catharina van Renneslaan 35,/middelbare-scholen/almelo/898/pius-x-college-alma-college/,SamenwerkingVoortgezet onderwijs245 leerlingen,245,Almelo,Middle School
23,Sg. Canisius - Almelo,Slot 31,/middelbare-scholen/almelo/923/sg-canisius-almelo/,KatholiekVoortgezet onderwijs728 leerlingen,728,Almelo,Middle School
24,Het Noordik Lyceum,Noordikslaan 68,/middelbare-scholen/almelo/1173/het-noordik-lyceum/,Prot. christelijkVoortgezet onderwijs1332 leerlingen,1332,Almelo,Middle School
25,Het Noordik - vestiging Alma College,Sluiskade Noordzijde 126a,/middelbare-scholen/almelo/1174/het-noordik-vestiging-alma-college/,Prot. christelijkVoortgezet onderwijs340 leerlingen,340,Almelo,Middle School
26,Het Erasmus mavo havo vwo,Sluiskade Noordzijde 68,/middelbare-scholen/almelo/1570/het-erasmus-mavo-havo-vwo/,OpenbaarVoortgezet onderwijs1404 leerlingen,1404,Almelo,Middle School
27,Het Erasmus - Alma College,Sluiskade Noordzijde 126A,/middelbare-scholen/almelo/1571/het-erasmus-alma-college/,OpenbaarVoortgezet onderwijs310 leerlingen,310,Almelo,Middle School
28,Het Erasmus isk,Cesar Franckstraat 1,/middelbare-scholen/almelo/24563/het-erasmus-isk/,OpenbaarVoortgezet onderwijs337 leerlingen,337,Almelo,Middle School
29,Het Erasmus praktijkonderwijs (pro),Horstlaan 1,/middelbare-scholen/almelo/1573/het-erasmus-praktijkonderwijs-pro/,OpenbaarVoortgezet onderwijs157 leerlingen,157,Almelo,Middle School
30,Zone.college vmbo Almelo,Bornerbroeksestraat 348,/middelbare-scholen/almelo/24906/zonecollege-vmbo-almelo/,OverigeVoortgezet onderwijs780 leerlingen,780,Almelo,Middle School
31,VSO De Veenlanden (voortgezet speciaal onderwijs -cluster 4),Vriezenveenseweg 229,/middelbare-scholen/almelo/8499/vso-de-veenlanden-voortgezet-speciaal-onderwijs-cluster-4/,Confessioneel overigVoortgezet speciaal onderwijs103 leerlingen,103,Almelo,Middle School
32,Dr Herderscheeschool,Schapendijk 3,/middelbare-scholen/almelo/24739/dr-herderscheeschool/,Algemeen bijzonderVoortgezet speciaal onderwijs212 leerlingen,212,Almelo,Middle School
33,Nautilus College - Radioweg,Radioweg 35,/middelbare-scholen/almere/4998/nautilus-college-radioweg/,Algemeen bijzonderVoortgezet speciaal onderwijs87 leerlingen,87,Almere,Middle School
34,Nautilus College - Paul Kleestraat,Paul Kleestraat 35,/middelbare-scholen/almere/26219/nautilus-college-paul-kleestraat/,Algemeen bijzonderVoortgezet speciaal onderwijs124 leerlingen,124,Almere,Middle School
35,Nautilus College - Lierstraat,Lierstraat 17,/middelbare-scholen/almere/26220/nautilus-college-lierstraat/,Algemeen bijzonderVoortgezet speciaal onderwijs163 leerlingen,163,Almere,Middle School
36,Aeres VMBO Almere,Heliumweg 1,/middelbare-scholen/almere/1381/aeres-vmbo-almere/,SamenwerkingVoortgezet onderwijs904 leerlingen,904,Almere,Middle School
37,OSG Echnaton,Zwolleweg 1,/middelbare-scholen/almere/2577/osg-echnaton/,OpenbaarVoortgezet onderwijs947 leerlingen,947,Almere,Middle School
38,Openbare SGM Helen Parkhurst,Bongerdstraat 1,/middelbare-scholen/almere/2578/openbare-sgm-helen-parkhurst/,OpenbaarVoortgezet onderwijs1801 leerlingenDalton,1801,Almere,Middle School
39,Openbare Scholengemeenschap Echnaton,Walt Disneyplantsoen 88,/middelbare-scholen/almere/23167/openbare-scholengemeenschap-echnaton/,OpenbaarVoortgezet onderwijs186 leerlingen,186,Almere,Middle School
40,OSG De Meergronden,Marktgracht 65,/middelbare-scholen/almere/2580/osg-de-meergronden/,OpenbaarVoortgezet onderwijs1240 leerlingen,1240,Almere,Middle School
41,Arte College,Oostenrijkstraat 2,/middelbare-scholen/almere/2581/arte-college/,OpenbaarVoortgezet onderwijs864 leerlingen,864,Almere,Middle School
42,Pro-Bachweg,J.S. Bachweg 7,/middelbare-scholen/almere/2584/pro-bachweg/,OpenbaarVoortgezet onderwijs149 leerlingen,149,Almere,Middle School
43,Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoo,A. Boekenweg 3,/middelbare-scholen/almere/26120/oostvaarders-college-voor-lyceum-havo-mavo-vbo-lwoo/,OverigeVoortgezet onderwijs1492 leerlingen,1492,Almere,Middle School
44,Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoolocatie Buitenhout,Ambonstraat 2,/middelbare-scholen/almere/26121/oostvaarders-college-voor-lyceum-havo-mavo-vbo-lwoolocatie-buitenhout/,OverigeVoortgezet onderwijs830 leerlingen,830,Almere,Middle School
45,Oostvaarders Coll. voor Lyceum Havo Mavo Vbo Lwoo loc. Montessori Lyc. Flevoland,Ambonstraat 5,/middelbare-scholen/almere/26122/oostvaarders-coll-voor-lyceum-havo-mavo-vbo-lwoo-loc-montessori-lyc-flevoland/,OverigeVoortgezet onderwijs558 leerlingenMontessori,558,Almere,Middle School
46,Pro-Tom Poesstraat,Tom Poesstraat 2,/middelbare-scholen/almere/2587/pro-tom-poesstraat/,OverigeVoortgezet onderwijs171 leerlingen,171,Almere,Middle School
47,Pro-Koningsbeltstraat,Koningsbeltstraat 4,/middelbare-scholen/almere/22450/pro-koningsbeltstraat/,OpenbaarVoortgezet onderwijs154 leerlingen,154,Almere,Middle School
48,Olivijn,Marathonlaan 7,/middelbare-scholen/almere/7458/olivijn/,Algemeen bijzonderVoortgezet speciaal onderwijs,,Almere,Middle School
49,Aventurijn,Marathonlaan 13,/middelbare-scholen/almere/26243/aventurijn/,Algemeen bijzonderVoortgezet speciaal onderwijs192 leerlingen,192,Almere,Middle School
50,Stad College,Rooseveltweg 7,/middelbare-scholen/almere/4412/stad-college/,Confessioneel overigVoortgezet onderwijs498 leerlingen,498,Almere,Middle School
51,Park Lyceum,Bunuellaan 4,/middelbare-scholen/almere/4413/park-lyceum/,OverigeVoortgezet onderwijs1575 leerlingen,1575,Almere,Middle School
52,Trinitas Gymnasium,"Sas van Gentlaan 6
1324 CT Almere",/middelbare-scholen/almere/4466/trinitas-gymnasium/,OverigeVoortgezet onderwijs629 leerlingen,629,Almere,Middle School
53,Poort Lyceum,Pim Mulierstraat 102,/middelbare-scholen/almere/4414/poort-lyceum/,OverigeVoortgezet onderwijs633 leerlingen,633,Almere,Middle School
54,International School Almere,Heliumweg 61,/middelbare-scholen/almere/22477/international-school-almere/,OverigeVoortgezet onderwijs294 leerlingen,294,Almere,Middle School
55,"Ashram College KSG voor vwo, havo, mavo en vbo",Marsdiep 289,/middelbare-scholen/alphen-aan-den-rijn/26132/ashram-college-ksg-voor-vwo-havo-mavo-en-vbo/,OverigeVoortgezet onderwijs753 leerlingen,753,Alphen aan den Rijn,Middle School
56,VSO Prisma,Meerkoetstraat 3,/middelbare-scholen/alphen-aan-den-rijn/23862/vso-prisma/,Prot. christelijkVoortgezet speciaal onderwijs83 leerlingen,83,Alphen aan den Rijn,Middle School
57,Groene Hart Leerpark,Prinses Beatrixlaan 4,/middelbare-scholen/alphen-aan-den-rijn/1218/groene-hart-leerpark/,OverigeVoortgezet onderwijs753 leerlingen,753,Alphen aan den Rijn,Middle School
58,Groene Hart Lyceum,Tolstraat 11,/middelbare-scholen/alphen-aan-den-rijn/1219/groene-hart-lyceum/,OverigeVoortgezet onderwijs1570 leerlingen,1570,Alphen aan den Rijn,Middle School
59,Groene Hart Topmavo,Tolstraat 9,/middelbare-scholen/alphen-aan-den-rijn/22489/groene-hart-topmavo/,OverigeVoortgezet onderwijs768 leerlingen,768,Alphen aan den Rijn,Middle School
60,Groene Hart Praktijkschool,Anna van Burenlaan 15,/middelbare-scholen/alphen-aan-den-rijn/1225/groene-hart-praktijkschool/,Prot. christelijkVoortgezet onderwijs158 leerlingen,158,Alphen aan den Rijn,Middle School
61,Yuverta chr. vmbo Alphen aan den Rijn,Kalkovenweg 62,/middelbare-scholen/alphen-aan-den-rijn/1720/yuverta-chr-vmbo-alphen-aan-den-rijn/,Prot. christelijkVoortgezet onderwijs510 leerlingen,510,Alphen aan den Rijn,Middle School
62,Scala College - onderbouwlocatie Kees Mustersstraat,Kees Mustersstraat 6,/middelbare-scholen/alphen-aan-den-rijn/2383/scala-college-onderbouwlocatie-kees-mustersstraat/,OpenbaarVoortgezet onderwijs788 leerlingen,788,Alphen aan den Rijn,Middle School
63,Scala College - locatie Henry Dunantweg,Henry Dunantweg 2,/middelbare-scholen/alphen-aan-den-rijn/22445/scala-college-locatie-henry-dunantweg/,OpenbaarVoortgezet onderwijs771 leerlingen,771,Alphen aan den Rijn,Middle School
64,Scala College - bovenbouwlocatie Sacharovlaan (t)vwo,Dr. A.D. Sacharovlaan 1,/middelbare-scholen/alphen-aan-den-rijn/22482/scala-college-bovenbouwlocatie-sacharovlaan-tvwo/,OpenbaarVoortgezet onderwijs440 leerlingen,440,Alphen aan den Rijn,Middle School
65,Rijnstroom College,Ds. Meijerlaan 14,/middelbare-scholen/alphen-aan-den-rijn/11798/rijnstroom-college/,Algemeen bijzonderVoortgezet speciaal onderwijs120 leerlingen,120,Alphen aan den Rijn,Middle School
66,Rijnhove hand in hand,Ds. Meijerlaan 14,/middelbare-scholen/alphen-aan-den-rijn/24966/rijnhove-hand-in-hand/,Algemeen bijzonderVoortgezet speciaal onderwijs7 leerlingen,7,Alphen aan den Rijn,Middle School
67,Beekdal VSO,Heiligenbergerweg 185,/middelbare-scholen/amersfoort/25575/beekdal-vso/,OverigeVoortgezet speciaal onderwijs156 leerlingen,156,Amersfoort,Middle School
68,Het Nieuwe Eemland,Daam Fockemalaan 12,/middelbare-scholen/amersfoort/1066/het-nieuwe-eemland/,KatholiekVoortgezet onderwijs1130 leerlingen,1130,Amersfoort,Middle School
69,Mavo Muurhuizen,Zangvogelweg 4,/middelbare-scholen/amersfoort/1067/mavo-muurhuizen/,KatholiekVoortgezet onderwijs707 leerlingen,707,Amersfoort,Middle School
70,'t Hooghe Landt,Trompetstraat 1,/middelbare-scholen/amersfoort/1069/t-hooghe-landt/,KatholiekVoortgezet onderwijs1228 leerlingen,1228,Amersfoort,Middle School
71,Het Element,Kaliumweg 2,/middelbare-scholen/amersfoort/1070/het-element/,KatholiekVoortgezet onderwijs318 leerlingen,318,Amersfoort,Middle School
72,GSG Guido,Paladijnenweg 251,/middelbare-scholen/amersfoort/1152/gsg-guido/,Prot. christelijkVoortgezet onderwijs632 leerlingen,632,Amersfoort,Middle School
73,GSG Guido VMBO,Hardwareweg 11,/middelbare-scholen/amersfoort/1154/gsg-guido-vmbo/,Prot. christelijkVoortgezet onderwijs481 leerlingen,481,Amersfoort,Middle School
74,GSG Guido,Paladijnenweg 253,/middelbare-scholen/amersfoort/4454/gsg-guido/,Prot. christelijkVoortgezet onderwijs446 leerlingen,446,Amersfoort,Middle School
75,Yuverta vmbo Amersfoort,Bergenboulevard 11,/middelbare-scholen/amersfoort/1709/yuverta-vmbo-amersfoort/,OverigeVoortgezet onderwijs487 leerlingen,487,Amersfoort,Middle School
76,Axia College,Utrechtseweg 266,/middelbare-scholen/amersfoort/25119/axia-college/,OpenbaarVoortgezet speciaal onderwijs,,Amersfoort,Middle School
77,Axia College Onderbouw,Utrechtseweg 266,/middelbare-scholen/amersfoort/24869/axia-college-onderbouw/,OpenbaarVoortgezet speciaal onderwijs330 leerlingen,330,Amersfoort,Middle School
78,Joh van Oldenbarnevelt Gymnasium,Thorbeckeplein 1,/middelbare-scholen/amersfoort/1818/joh-van-oldenbarnevelt-gymnasium/,OpenbaarVoortgezet onderwijs839 leerlingen,839,Amersfoort,Middle School
79,Openbaar Lyceum De Amersfoortse Berg,Hooglandsweg-Noord 55,/middelbare-scholen/amersfoort/1820/openbaar-lyceum-de-amersfoortse-berg/,OpenbaarVoortgezet onderwijs1205 leerlingen,1205,Amersfoort,Middle School
80,'t Atrium,Paladijnenweg 611,/middelbare-scholen/amersfoort/1822/t-atrium/,OpenbaarVoortgezet onderwijs1000 leerlingen,1000,Amersfoort,Middle School
81,VMBO Trivium College,Dierenriem 11,/middelbare-scholen/amersfoort/1823/vmbo-trivium-college/,OpenbaarVoortgezet onderwijs271 leerlingen,271,Amersfoort,Middle School
82,Amsfort College,Columbusweg 40,/middelbare-scholen/amersfoort/1824/amsfort-college/,OpenbaarVoortgezet onderwijs278 leerlingen,278,Amersfoort,Middle School
83,Vathorst College,Lovink 6,/middelbare-scholen/amersfoort/1825/vathorst-college/,OpenbaarVoortgezet onderwijs1005 leerlingen,1005,Amersfoort,Middle School
84,PRO33college (Praktijkonderwijs Trivium College),Wiekslag 50,/middelbare-scholen/amersfoort/22433/pro33college-praktijkonderwijs-trivium-college/,OpenbaarVoortgezet onderwijs94 leerlingen,94,Amersfoort,Middle School
85,Farel College,Paladijnenweg 101,/middelbare-scholen/amersfoort/2060/farel-college/,Prot. christelijkVoortgezet onderwijs1305 leerlingen,1305,Amersfoort,Middle School
86,"Meerwegen College, vestiging Taalcentrum Amersfoort",Magnesiumweg 4,/middelbare-scholen/amersfoort/26524/meerwegen-college-vestiging-taalcentrum-amersfoort/,OverigeVoortgezet onderwijs187 leerlingen,187,Amersfoort,Middle School
87,Corderius College,De Ganskuijl 105,/middelbare-scholen/amersfoort/2062/corderius-college/,Prot. christelijkVoortgezet onderwijs1815 leerlingen,1815,Amersfoort,Middle School
88,Het Element,Kaliumweg 2,/middelbare-scholen/amersfoort/2063/het-element/,Prot. christelijkVoortgezet onderwijs267 leerlingen,267,Amersfoort,Middle School
89,Meerwegen College,Euroweg 23,/middelbare-scholen/amersfoort/24180/meerwegen-college/,Prot. christelijkVoortgezet onderwijs70 leerlingen,70,Amersfoort,Middle School
90,PRO33college (Accent Amersfoort),Wiekslag 50,/middelbare-scholen/amersfoort/2069/pro33college-accent-amersfoort/,Prot. christelijkVoortgezet onderwijs99 leerlingen,99,Amersfoort,Middle School
91,Van Lodenstein College locatie Amersfoort,Utrechtseweg 228,/middelbare-scholen/amersfoort/2612/van-lodenstein-college-locatie-amersfoort/,Prot. christelijkVoortgezet onderwijs1080 leerlingen,1080,Amersfoort,Middle School
92,"PrO De Baander, praktijkonderwijs",Zangvogelweg 152,/middelbare-scholen/amersfoort/2878/pro-de-baander-praktijkonderwijs/,KatholiekVoortgezet onderwijs246 leerlingen,246,Amersfoort,Middle School
93,Hermann Wesselink College,Startbaan 3,/middelbare-scholen/amstelveen/1963/hermann-wesselink-college/,Prot. christelijkVoortgezet onderwijs1848 leerlingen,1848,Amstelveen,Middle School
94,Amstelveen College - Stichting Openbaar Voortgezet Onderwijs Amstelveen,Sportlaan 27,/middelbare-scholen/amstelveen/2823/amstelveen-college-stichting-openbaar-voortgezet-onderwijs-amstelveen/,OpenbaarVoortgezet onderwijs1672 leerlingen,1672,Amstelveen,Middle School
95,Scholengemeenschap Panta Rhei,Pandora 1-2 / Postbus 590,/middelbare-scholen/amstelveen/2914/scholengemeenschap-panta-rhei/,Algemeen bijzonderVoortgezet onderwijs561 leerlingen,561,Amstelveen,Middle School
96,Keizer Karel College,Elegast 5,/middelbare-scholen/amstelveen/3035/keizer-karel-college/,OverigeVoortgezet onderwijs1761 leerlingen,1761,Amstelveen,Middle School
97,Barlaeus Gymnasium,Weteringschans 31,/middelbare-scholen/amsterdam/395/barlaeus-gymnasium/,OpenbaarVoortgezet onderwijs801 leerlingen,801,Amsterdam,Middle School
98,Vossius Gymnasium,Messchaertstraat 1,/middelbare-scholen/amsterdam/397/vossius-gymnasium/,OpenbaarVoortgezet onderwijs843 leerlingen,843,Amsterdam,Middle School
99,Stichting De Nieuwe School,Herengracht 274,/middelbare-scholen/amsterdam/3352/stichting-de-nieuwe-school/,OverigeVoortgezet onderwijs,,Amsterdam,Middle School
100,Joodse SGM Maimonides,Noordbrabantstraat 15-17,/middelbare-scholen/amsterdam/675/joodse-sgm-maimonides/,Algemeen bijzonderVoortgezet onderwijs165 leerlingen,165,Amsterdam,Middle School
101,VierTaal College Amsterdam,Zekeringstraat 45,/middelbare-scholen/amsterdam/23895/viertaal-college-amsterdam/,OpenbaarVoortgezet speciaal onderwijs252 leerlingen,252,Amsterdam,Middle School
102,Montessori Lyceum Amsterdam - Hoofdlocatie,Pieter de Hoochstraat 59,/middelbare-scholen/amsterdam/684/montessori-lyceum-amsterdam-hoofdlocatie/,OverigeVoortgezet onderwijs1028 leerlingenMontessori,1028,Amsterdam,Middle School
103,IVKO - Leren van Kunst,Rustenburgerstraat 15,/middelbare-scholen/amsterdam/685/ivko-leren-van-kunst/,Algemeen bijzonderVoortgezet onderwijs539 leerlingenMontessori,539,Amsterdam,Middle School
104,Metis Montessori Lyceum . vwo . havo,Mauritskade 58,/middelbare-scholen/amsterdam/686/metis-montessori-lyceum-vwo-havo/,Algemeen bijzonderVoortgezet onderwijs1035 leerlingenMontessori,1035,Amsterdam,Middle School
105,Montessori Lyceum Oostpoort,Polderweg 3,/middelbare-scholen/amsterdam/687/montessori-lyceum-oostpoort/,Algemeen bijzonderVoortgezet onderwijs989 leerlingenMontessori,989,Amsterdam,Middle School
106,Kiem Montessori,Tweede Oosterparkstraat 33,/middelbare-scholen/amsterdam/688/kiem-montessori/,Algemeen bijzonderVoortgezet onderwijs227 leerlingenMontessori,227,Amsterdam,Middle School
107,Montessori Lyceum Amsterdam - Van Ostadestraat,Van Ostadestraat 103,/middelbare-scholen/amsterdam/4453/montessori-lyceum-amsterdam-van-ostadestraat/,Algemeen bijzonderVoortgezet onderwijs494 leerlingen,494,Amsterdam,Middle School
108,Montessori Lyceum Amsterdam - C. van Eesterenlaan,C. van Eesterenlaan 50,/middelbare-scholen/amsterdam/25731/montessori-lyceum-amsterdam-c-van-eesterenlaan/,Algemeen bijzonderVoortgezet onderwijs333 leerlingen,333,Amsterdam,Middle School
109,"Montessori SGM Amsterdam voor Lyceum Havo Mavo Vbo Lwoo, Oostpoort Nieuwkomers",Cornelis Krusemanstraat 68,/middelbare-scholen/amsterdam/26521/montessori-sgm-amsterdam-voor-lyceum-havo-mavo-vbo-lwoo-oostpoort-nieuwkomers/,OverigeVoortgezet onderwijs339 leerlingen,339,Amsterdam,Middle School
110,Het Amsterdams Lyceum,Valeriusplein 15,/middelbare-scholen/amsterdam/691/het-amsterdams-lyceum/,Algemeen bijzonderVoortgezet onderwijs1087 leerlingen,1087,Amsterdam,Middle School
111,MUNDUS College Amsterdam,Burg. Hogguerstraat 2,/middelbare-scholen/amsterdam/1266/mundus-college-amsterdam/,Algemeen bijzonderVoortgezet onderwijs1000 leerlingen,1000,Amsterdam,Middle School
112,DENISE,Piet Mondriaanstraat 140,/middelbare-scholen/amsterdam/1267/denise/,OverigeVoortgezet onderwijs590 leerlingen,590,Amsterdam,Middle School
113,Berlage Lyceum,Pieter Lodewijk Takstraat 33,/middelbare-scholen/amsterdam/1268/berlage-lyceum/,OverigeVoortgezet onderwijs1209 leerlingen,1209,Amsterdam,Middle School
114,Marcanti College,Jan van Galenstraat 31,/middelbare-scholen/amsterdam/1269/marcanti-college/,OverigeVoortgezet onderwijs400 leerlingen,400,Amsterdam,Middle School
115,Het Cartesius Lyceum,Frederik Hendrikplantsoen 7A,/middelbare-scholen/amsterdam/1270/het-cartesius-lyceum/,Algemeen bijzonderVoortgezet onderwijs661 leerlingen,661,Amsterdam,Middle School
116,Spring High,Herman Poortstraat 17,/middelbare-scholen/amsterdam/1271/spring-high/,Algemeen bijzonderVoortgezet onderwijs285 leerlingen,285,Amsterdam,Middle School
117,Amsterdam International Community School (AICS),A.J. Ernststraat 1179,/middelbare-scholen/amsterdam/1272/amsterdam-international-community-school-aics/,Algemeen bijzonderVoortgezet onderwijs635 leerlingen,635,Amsterdam,Middle School
118,"ALASCA (vwo+, havo/vwo en IB)",Geertje Wielemaplein 1,/middelbare-scholen/amsterdam/24126/alasca-vwo-havo-vwo-en-ib/,Algemeen bijzonderVoortgezet onderwijs662 leerlingen,662,Amsterdam,Middle School
119,Esprit Scholen voor Lyceum Havo mavo Vbo Lwoo,Darlingstraat 2,/middelbare-scholen/amsterdam/26118/esprit-scholen-voor-lyceum-havo-mavo-vbo-lwoo/,OverigeVoortgezet onderwijs322 leerlingen,322,Amsterdam,Middle School
120,Het 4e Gymnasium,Archangelweg 4,/middelbare-scholen/amsterdam/3271/het-4e-gymnasium/,Algemeen bijzonderVoortgezet onderwijs826 leerlingen,826,Amsterdam,Middle School
121,Vonk Amsterdam (voorheen Clusius College),Rode Kruisstraat 40,/middelbare-scholen/amsterdam/1345/vonk-amsterdam-voorheen-clusius-college/,OverigeVoortgezet onderwijs371 leerlingen,371,Amsterdam,Middle School
122,Sint Ignatiusgymnasium,Jan van Eijckstraat 47,/middelbare-scholen/amsterdam/1433/sint-ignatiusgymnasium/,KatholiekVoortgezet onderwijs782 leerlingen,782,Amsterdam,Middle School
123,Fons Vitae Lyceum,Reijnier Vinkeleskade 53,/middelbare-scholen/amsterdam/1435/fons-vitae-lyceum/,KatholiekVoortgezet onderwijs1060 leerlingen,1060,Amsterdam,Middle School
124,St. Nicolaaslyceum,Beethovenplein 2,/middelbare-scholen/amsterdam/1437/st-nicolaaslyceum/,KatholiekVoortgezet onderwijs1216 leerlingen,1216,Amsterdam,Middle School
125,Ir. Lely Lyceum,Ravenswaaipad 3,/middelbare-scholen/amsterdam/1641/ir-lely-lyceum/,OpenbaarVoortgezet onderwijs1109 leerlingen,1109,Amsterdam,Middle School
126,Yuverta vmbo Amsterdam-West,Jan van Zutphenstraat 60,/middelbare-scholen/amsterdam/1714/yuverta-vmbo-amsterdam-west/,OverigeVoortgezet onderwijs252 leerlingen,252,Amsterdam,Middle School
127,Yuverta vmbo Amsterdam-Oost,Archimedesplantsoen 87,/middelbare-scholen/amsterdam/1715/yuverta-vmbo-amsterdam-oost/,OverigeVoortgezet onderwijs281 leerlingen,281,Amsterdam,Middle School
128,Het Hervormd Lyceum West,Hemsterhuisstraat 79,/middelbare-scholen/amsterdam/1958/het-hervormd-lyceum-west/,Prot. christelijkVoortgezet onderwijs802 leerlingen,802,Amsterdam,Middle School
129,HLZ,Brahmsstraat 7,/middelbare-scholen/amsterdam/1960/hlz/,Prot. christelijkVoortgezet onderwijs960 leerlingen,960,Amsterdam,Middle School
130,Chr Sgm Buitenveldert,De Cuserstraat 3,/middelbare-scholen/amsterdam/1968/chr-sgm-buitenveldert/,Prot. christelijkVoortgezet onderwijs848 leerlingen,848,Amsterdam,Middle School
131,Geert Groote College Amsterdam,Fred. Roeskestraat 84,/middelbare-scholen/amsterdam/1971/geert-groote-college-amsterdam/,OverigeVoortgezet onderwijs923 leerlingenVrijeschool,923,Amsterdam,Middle School
132,Kairos Tienercollege,Schoenerstraat 7,/middelbare-scholen/amsterdam/25732/kairos-tienercollege/,OverigeVoortgezet onderwijs50 leerlingenVrijeschool,50,Amsterdam,Middle School
133,Orion College Zuidoost,Bijlmerdreef 1289-2,/middelbare-scholen/amsterdam/6359/orion-college-zuidoost/,OpenbaarVoortgezet speciaal onderwijs86 leerlingen,86,Amsterdam,Middle School
