,name,address,link,details,n_students,neighborhood,type
7611,Basisschool Aboe El-Chayr,Dirigentenlaan 27,/basisscholen/tilburg/11251/basisschool-aboe-el-chayr/,Confessioneel overigBasisonderwijs317 leerlingen,317,Tilburg,Basic School
7612,Basisschool Cleijn Hasselt,Hasseltstraat 198,/basisscholen/tilburg/11605/basisschool-cleijn-hasselt/,KatholiekBasisonderwijs162 leerlingen,162,Tilburg,Basic School
7613,"Basisschool Pendula, onderdeel van kindercampus Pendula",Hoogvensestraat 49,/basisscholen/tilburg/25968/basisschool-pendula-onderdeel-van-kindercampus-pendula/,KatholiekBasisonderwijs300 leerlingen,300,Tilburg,Basic School
7614,Basisschool Armhoefse Akker,Spoordijk 68,/basisscholen/tilburg/26020/basisschool-armhoefse-akker/,KatholiekBasisonderwijs262 leerlingen,262,Tilburg,Basic School
7615,Basisschool De Stappen,Schaepmanstraat 38,/basisscholen/tilburg/11606/basisschool-de-stappen/,KatholiekBasisonderwijs593 leerlingen,593,Tilburg,Basic School
7616,Kindcentrum Christoffel,Zouavenlaan 77,/basisscholen/tilburg/7803/kindcentrum-christoffel/,KatholiekBasisonderwijs550 leerlingen,550,Tilburg,Basic School
7617,Basisschool Don Sarto,Oude Hilvarenbeekseweg 15,/basisscholen/tilburg/26013/basisschool-don-sarto/,KatholiekBasisonderwijs181 leerlingen,181,Tilburg,Basic School
7618,Basisschool De Vijf Hoeven,Hendrik van Tulderstraat 7,/basisscholen/tilburg/11607/basisschool-de-vijf-hoeven/,KatholiekBasisonderwijs236 leerlingen,236,Tilburg,Basic School
7619,Basisschool De Borne,Grebbe 40,/basisscholen/tilburg/11608/basisschool-de-borne/,KatholiekBasisonderwijs439 leerlingen,439,Tilburg,Basic School
7620,Basisschool Hubertus,Jagerslaan 55,/basisscholen/tilburg/7804/basisschool-hubertus/,KatholiekBasisonderwijs210 leerlingen,210,Tilburg,Basic School
7621,Basisschool De Alm,Groenewoudstraat 70,/basisscholen/tilburg/26014/basisschool-de-alm/,KatholiekBasisonderwijs176 leerlingen,176,Tilburg,Basic School
7622,Jenaplanbasisschool Jeanne d'Arc,Le Bourgetstraat 21,/basisscholen/tilburg/11609/jenaplanbasisschool-jeanne-darc/,KatholiekBasisonderwijs120 leerlingenJenaplan,120,Tilburg,Basic School
7623,Montessoribasisschool De Elzen,Elzenstraat 14 A,/basisscholen/tilburg/7805/montessoribasisschool-de-elzen/,KatholiekBasisonderwijs553 leerlingenMontessori,553,Tilburg,Basic School
7624,Basisschool Antares,Sabelhof 12b,/basisscholen/tilburg/7806/basisschool-antares/,KatholiekBasisonderwijs240 leerlingen,240,Tilburg,Basic School
7625,Basisschool Wandelbos,Auteurslaan 7,/basisscholen/tilburg/11610/basisschool-wandelbos/,KatholiekBasisonderwijs272 leerlingenNieuw / natuurlijk / conceptueel leren,272,Tilburg,Basic School
7626,Daltonschool Helen Parkhurst,Gramsbergenlaan 4,/basisscholen/tilburg/7807/daltonschool-helen-parkhurst/,KatholiekBasisonderwijs275 leerlingenDalton,275,Tilburg,Basic School
7627,Basisschool Koningshaven,Fatimastraat 24 B,/basisscholen/tilburg/26015/basisschool-koningshaven/,KatholiekBasisonderwijs120 leerlingen,120,Tilburg,Basic School
7628,Basisschool De Triangel,Wassenaerlaan 38,/basisscholen/tilburg/11611/basisschool-de-triangel/,KatholiekBasisonderwijs282 leerlingen,282,Tilburg,Basic School
7629,Basisschool De Zuidwester,Staringstraat 10,/basisscholen/tilburg/11612/basisschool-de-zuidwester/,KatholiekBasisonderwijs192 leerlingen,192,Tilburg,Basic School
7630,Basisschool De Wegwijzer,Giekerkstraat 53,/basisscholen/tilburg/11613/basisschool-de-wegwijzer/,KatholiekBasisonderwijs261 leerlingen,261,Tilburg,Basic School
