name,address,link,details,n_students,neighborhood,type
Kindcentrum het Rinket,Bachstraat 20,/basisscholen/heemskerk/9286/kindcentrum-het-rinket/,Katholiek Basisonderwijs232,232.0,Heemskerk,Basic School
Kindcentrum  de Vlinder,Frankrijklaan 2,/basisscholen/heemskerk/9288/kindcentrum-de-vlinder/,Katholiek Basisonderwijs188,188.0,Heemskerk,Basic School
Otterkolken,Prof ten Doesschatestr 119 A,/basisscholen/heemskerk/9290/otterkolken/,Samenwerking Basisonderwijs342,342.0,Heemskerk,Basic School
Kindcentrum St. Leonardus,Kerkweg 225,/basisscholen/heemskerk/9292/kindcentrum-st-leonardus/,Katholiek Basisonderwijs351,351.0,Heemskerk,Basic School
Anne Frankschool,Jan van Kuikweg 97,/basisscholen/heemskerk/5397/anne-frankschool/,Katholiek Basisonderwijs396,396.0,Heemskerk,Basic School
De Bareel,Waddenlaan 1,/basisscholen/heemskerk/5400/de-bareel/,Confessioneel overig,467.0,Heemskerk,Basic School
Heliomare Onderwijs,De Velst 1,/basisscholen/heemskerk/9360/heliomare-onderwijs/,Algemeen bijzonder,168.0,Heemskerk,Basic School
Auris Prof. Van Gilseschool,De Visserstraat 6 a,/basisscholen/heemskerk/23841/auris-prof-van-gilseschool/,Algemeen bijzonder,,Heemskerk,Basic School
Kindcentrum Zevenhoeven,Maerelaan 248 a,/basisscholen/heemskerk/10021/kindcentrum-zevenhoeven/,Openbaar Basisonderwijs211,211.0,Heemskerk,Basic School
BS Het Avontuur,Rameaustraat 6,/basisscholen/heemskerk/6107/bs-het-avontuur/,Openbaar Basisonderwijs104,104.0,Heemskerk,Basic School
Kindcentrum Eigenwijze,De Visserstraat 6A,/basisscholen/heemskerk/25715/kindcentrum-eigenwijze/,Openbaar Basisonderwijs87,87.0,Heemskerk,Basic School
Kindcentrum De Marel,Duitslandlaan 7,/basisscholen/heemskerk/6108/kindcentrum-de-marel/,Openbaar Basisonderwijs237,237.0,Heemskerk,Basic School
De Evenaar,Van der Waalslaan 33,/basisscholen/heemstede/4969/de-evenaar/,Algemeen bijzonder,199.0,Heemstede,Basic School
Algemeen Bijzondere Basisschool Icarus,Kerklaan 90 -92,/basisscholen/heemstede/5224/algemeen-bijzondere-basisschool-icarus/,Algemeen bijzonder,241.0,Heemstede,Basic School
Katholieke Basisschool De Ark,Van der Waalslaan 37,/basisscholen/heemstede/5433/katholieke-basisschool-de-ark/,Katholiek Basisonderwijs212,212.0,Heemstede,Basic School
KC De Molenwerf,Molenwerfslaan 7,/basisscholen/heemstede/9311/kc-de-molenwerf/,Katholiek Basisonderwijs120,120.0,Heemstede,Basic School
Jacobaschool,Lanckhorstlaan 9,/basisscholen/heemstede/9312/jacobaschool/,Katholiek Basisonderwijs224,224.0,Heemstede,Basic School
Crayenester-Basisschool,Crayenestersingel 37,/basisscholen/heemstede/10390/crayenester-basisschool/,Openbaar Basisonderwijs406,406.0,Heemstede,Basic School
Voorweg Basisschool,Voorweg 24,/basisscholen/heemstede/6432/voorweg-basisschool/,Openbaar Basisonderwijs233,233.0,Heemstede,Basic School
Prinses Beatrixschool,Von Brucken Focklaan 2,/basisscholen/heemstede/8554/prinses-beatrixschool/,Prot. christelijk,266.0,Heemstede,Basic School
Bosch en Hovenschool,Adriaan Pauwlaan 19,/basisscholen/heemstede/22353/bosch-en-hovenschool/,Prot. christelijk,243.0,Heemstede,Basic School
Nicolaas Beetsschool,Sportparklaan 1,/basisscholen/heemstede/12309/nicolaas-beetsschool/,Prot. christelijk,372.0,Heemstede,Basic School
Basisschool de Ravelinde,Bloemendaele 4,/basisscholen/heenvliet/10602/basisschool-de-ravelinde/,Samenwerking Basisonderwijs169,169.0,Heenvliet,Basic School
Jenaplanschool Heerde,Beatrixweg 30,/basisscholen/heerde/6033/jenaplanschool-heerde/,Openbaar Basisonderwijs108,108.0,Heerde,Basic School
De Horsthoek,Oenerweg 7,/basisscholen/heerde/9957/de-horsthoek/,Openbaar Basisonderwijs92,92.0,Heerde,Basic School
openbare basisschool De Spreng,Rhijnsburglaan 7 A,/basisscholen/heerde/6035/openbare-basisschool-de-spreng/,Openbaar Basisonderwijs63,63.0,Heerde,Basic School
CBS Het Talent,Rhijnsburglaan 7a,/basisscholen/heerde/10304/cbs-het-talent/,Prot. christelijk,356.0,Heerde,Basic School
CBS Wereldwijs,Griftstraat 8,/basisscholen/heerde/6348/cbs-wereldwijs/,Prot. christelijk,211.0,Heerde,Basic School
Kristal Gereformeerde basisschool,Griftstraat 8,/basisscholen/heerde/10784/kristal-gereformeerde-basisschool/,Prot. christelijk,126.0,Heerde,Basic School
Basisschool Sint Jozef,Van Dekemalaan 2,/basisscholen/heerenveen/5695/basisschool-sint-jozef/,Katholiek Basisonderwijs105,105.0,Heerenveen,Basic School
