name,address,link,details,n_students,neighborhood,type
Kindcentrum De Wegwijzer,Harm Tiesingstraat 74,/basisscholen/2e-exloërmond/25159/kindcentrum-de-wegwijzer/,Prot. christelijk,84.0,2e Exloërmond,Basic School
Openbare Basisschool De Westhoek,Schoolstraat 27,/basisscholen/2e-exloërmond/7595/openbare-basisschool-de-westhoek/,Openbaar Basisonderwijs44,44.0,2e Exloërmond,Basic School
Basisschool De Tweeklank,Albardastraat 35,/basisscholen/aadorp/11785/basisschool-de-tweeklank/,Samenwerking Basisonderwijs116,116.0,Aadorp,Basic School
JHR Willem Versluijsschool,Prelaatweg 22,/basisscholen/aagtekerke/25963/jhr-willem-versluijsschool/,Prot. christelijk,191.0,Aagtekerke,Basic School
Christelijke Basisschool de Schutse,Paardelandsdrift 9,/basisscholen/aalden/9661/christelijke-basisschool-de-schutse/,Prot. christelijk,62.0,Aalden,Basic School
De Smeltkroes eerste opvangonderwijs anderstaligen,Witte Zandpad 1,/basisscholen/aalden/6878/de-smeltkroes-eerste-opvangonderwijs-anderstaligen/,Openbaar Basisonderwijs57,57.0,Aalden,Basic School
Openbare Basisschool De Anwende,Paardelandsdrift 5,/basisscholen/aalden/6879/openbare-basisschool-de-anwende/,Openbaar Basisonderwijs117,117.0,Aalden,Basic School
Jozefschool Katholiek Basisonderwijs,Gerberastraat 2,/basisscholen/aalsmeer/8825/jozefschool-katholiek-basisonderwijs/,Katholiek Basisonderwijs436,436.0,Aalsmeer,Basic School
Rooms Katholieke Basisschool Oosteinder,Catharina-Amalialaan 66 B,/basisscholen/aalsmeer/8827/rooms-katholieke-basisschool-oosteinder/,Katholiek Basisonderwijs373,373.0,Aalsmeer,Basic School
IKC Triade,Dreef 1A,/basisscholen/aalsmeer/24314/ikc-triade/,Prot. christelijk,376.0,Aalsmeer,Basic School
De Brug,Catharina-Amalialaan 66 D,/basisscholen/aalsmeer/24358/de-brug/,Prot. christelijk,173.0,Aalsmeer,Basic School
Openbare Basisschool Samen Een,Schoolstraat 15,/basisscholen/aalsmeer/6586/openbare-basisschool-samen-een/,Openbaar Basisonderwijs188,188.0,Aalsmeer,Basic School
Openbare Basisschool de Zuidooster,Catharina-Amalialaan 66 A,/basisscholen/aalsmeer/6587/openbare-basisschool-de-zuidooster/,Openbaar Basisonderwijs254,254.0,Aalsmeer,Basic School
Openbare Basisschool Den Boogerd,Donkerstraat 17,/basisscholen/aalst/6912/openbare-basisschool-den-boogerd/,Openbaar Basisonderwijs83,83.0,Aalst,Basic School
School met de Bijbel 'De Burcht',Oranjestraat 1 A,/basisscholen/aalst/23225/school-met-de-bijbel-de-burcht/,Prot. christelijk,97.0,Aalst,Basic School
SBO nieuwHessen,Hessenweg 4,/basisscholen/aalten/7221/sbo-nieuwhessen/,Prot. christelijk,73.0,Aalten,Basic School
Christelijke Basisschool Barlo,Markerinkdijk 18,/basisscholen/aalten/11090/christelijke-basisschool-barlo/,Prot. christelijk,49.0,Aalten,Basic School
Chr. Daltonschool de Klimop,Schooldijk 21,/basisscholen/aalten/7223/chr-daltonschool-de-klimop/,Prot. christelijk,61.0,Aalten,Basic School
Christelijke Basisschool 't Möllenveld,Haartseweg 12 A,/basisscholen/aalten/7226/christelijke-basisschool-t-mollenveld/,Prot. christelijk,44.0,Aalten,Basic School
Christelijke Daltonschool 't Warmelinck,Kruisdijk 17,/basisscholen/aalten/7229/christelijke-daltonschool-t-warmelinck/,Prot. christelijk,54.0,Aalten,Basic School
IKC UnieK,Vondelstraat 11a/b,/basisscholen/aalten/7230/ikc-uniek/,Prot. christelijk,143.0,Aalten,Basic School
Protestants Christelijke Basisschool Groen van Prinsterer,Ludgerstraat 86,/basisscholen/aalten/11093/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijk,324.0,Aalten,Basic School
IKC De Triangel,Dalweg 18,/basisscholen/aalten/11095/ikc-de-triangel/,Prot. christelijk,336.0,Aalten,Basic School
Basisschool St. Jozef,Dijkstraat 6,/basisscholen/aalten/7650/basisschool-st-jozef/,Katholiek Basisonderwijs111,111.0,Aalten,Basic School
Openbare Basisschool De Slinger,Wehmerstraat 21,/basisscholen/aalten/26342/openbare-basisschool-de-slinger/,Openbaar Basisonderwijs135,135.0,Aalten,Basic School
Basisschool Op Dreef,Hennequinstraat 1,/basisscholen/aardenburg/26404/basisschool-op-dreef/,Katholiek Basisonderwijs106,106.0,Aardenburg,Basic School
Protestants Christelijke Basisschool De Viergang,Jacob van Damstraat 24,/basisscholen/aarlanderveen/21148/protestants-christelijke-basisschool-de-viergang/,Prot. christelijk,63.0,Aarlanderveen,Basic School
Kindcentrum Breinplein,Schoolstraat 1,/basisscholen/aarle-rixtel/5309/kindcentrum-breinplein/,Katholiek Basisonderwijs190,190.0,Aarle-Rixtel,Basic School
Openbare Basisschool de Driehoek,Schoolstraat 1b,/basisscholen/aarle-rixtel/7413/openbare-basisschool-de-driehoek/,Openbaar Basisonderwijs163,163.0,Aarle-Rixtel,Basic School
Openbare Basisschool de Dubbele Punt,Koetenburg 14,/basisscholen/aartswoud/10147/openbare-basisschool-de-dubbele-punt/,Openbaar Basisonderwijs29,29.0,Aartswoud,Basic School
Openbare Basisschool de Plaats,Schoolwerf 1,/basisscholen/abbekerk/6234/openbare-basisschool-de-plaats/,Openbaar Basisonderwijs127,127.0,Abbekerk,Basic School
Openbare Basisschool De Vliegerdt,Achterweg ZZ 2c,/basisscholen/abbenbroek/6685/openbare-basisschool-de-vliegerdt/,Openbaar Basisonderwijs65,65.0,Abbenbroek,Basic School
IKC De Lente,Langerak 42,/basisscholen/abbenes/23476/ikc-de-lente/,Algemeen bijzonder,51.0,Abbenes,Basic School
Christelijk NAT Basisschool Abcoude,Blomswaard 2,/basisscholen/abcoude/5808/christelijk-nat-basisschool-abcoude/,Prot. christelijk,212.0,Abcoude,Basic School
Piet Mondriaan,Broekzijdselaan 46 A,/basisscholen/abcoude/7308/piet-mondriaan/,Openbaar Basisonderwijs396,396.0,Abcoude,Basic School
KBs Pius,Broekzijdselaan 3,/basisscholen/abcoude/11854/kbs-pius/,Katholiek Basisonderwijs183,183.0,Abcoude,Basic School
KBs Paulus,Koppeldijk 30,/basisscholen/abcoude/11856/kbs-paulus/,Katholiek Basisonderwijs208,208.0,Abcoude,Basic School
IKC it iepen finster,Dorpsstraat 4 B,/basisscholen/achlum/23309/ikc-it-iepen-finster/,Samenwerking Basisonderwijs60,60.0,Achlum,Basic School
Basisschool het Startblok,Jan van Arkelweg 12,/basisscholen/achterveld-utrecht/11280/basisschool-het-startblok/,Openbaar Basisonderwijs115,115.0,Achterveld (Utrecht),Basic School
St. Jozefschool,Walter van Amersfoortstr 38,/basisscholen/achterveld-utrecht/8013/st-jozefschool/,Katholiek Basisonderwijs117,117.0,Achterveld (Utrecht),Basic School
Rooms Katholieke Basisschool De Achtsprong,Kloosterstraat 31,/basisscholen/achthuizen/7208/rooms-katholieke-basisschool-de-achtsprong/,Katholiek Basisonderwijs48,48.0,Achthuizen,Basic School
RK Basisschool De Wegwijzer,van den Berghstraat 2b,/basisscholen/achtmaal/12129/rk-basisschool-de-wegwijzer/,Katholiek Basisonderwijs119,119.0,Achtmaal,Basic School
IKC Basisschool De Wierde,Kleine Straat 8,/basisscholen/adorp/8249/ikc-basisschool-de-wierde/,Openbaar Basisonderwijs56,56.0,Adorp,Basic School
SWS De Adeborg,Kleiweg 1 -3,/basisscholen/aduard/6697/sws-de-adeborg/,Samenwerking Basisonderwijs122,122.0,Aduard,Basic School
Openbare Basisschool Vondelschool,Juliana van Stolberglaan 25,/basisscholen/aerdenhout/10392/openbare-basisschool-vondelschool/,Openbaar Basisonderwijs272,272.0,Aerdenhout,Basic School
Antoniusschool voor Basisonderwijs,Teding van Berkhoutlaan 20,/basisscholen/aerdenhout/8112/antoniusschool-voor-basisonderwijs/,Katholiek Basisonderwijs220,220.0,Aerdenhout,Basic School
Tijo H. van Eeghenschool,Van Lennepweg 2,/basisscholen/aerdenhout/8552/tijo-h-van-eeghenschool/,Samenwerking Basisonderwijs219,219.0,Aerdenhout,Basic School
Schoolvereniging Aerdenhout Bentveld,Mr. H. Enschedeweg 22,/basisscholen/aerdenhout/8611/schoolvereniging-aerdenhout-bentveld/,Algemeen bijzonder,128.0,Aerdenhout,Basic School
Sint Victorschool,De Gaard 19,/basisscholen/afferden-gelderland/6024/sint-victorschool/,Katholiek Basisonderwijs123,123.0,Afferden (Gelderland),Basic School
basisschool 't Diekske,Langstraat 6 A,/basisscholen/afferden-limburg/23858/basisschool-t-diekske/,Katholiek Basisonderwijs112,112.0,Afferden (Limburg),Basic School
'n Baoken,Heggelkampsweg 4,/basisscholen/agelo/12008/n-baoken/,Katholiek Basisonderwijs29,29.0,Agelo,Basic School
Basisschool Rembrandt,Mozartlaan 65,/basisscholen/akersloot/5831/basisschool-rembrandt/,Openbaar Basisonderwijs156,156.0,Akersloot,Basic School
Kindcentrum De Brug,Buurtweg 20,/basisscholen/akersloot/8145/kindcentrum-de-brug/,Katholiek Basisonderwijs207,207.0,Akersloot,Basic School
CBS Dominee Hasperschool,De Stringen 3,/basisscholen/akkrum/22562/cbs-dominee-hasperschool/,Prot. christelijk,120.0,Akkrum,Basic School
obs Akkrum,De Stringen 1,/basisscholen/akkrum/23333/obs-akkrum/,Openbaar Basisonderwijs213,213.0,Akkrum,Basic School
Rooms Katholieke Basisschool Kadoes,De Weer 11,/basisscholen/albergen/7870/rooms-katholieke-basisschool-kadoes/,Katholiek Basisonderwijs258,258.0,Albergen,Basic School
Ds Joannes Beukelmanschool,Rembrandtlaan 100,/basisscholen/alblasserdam/5023/ds-joannes-beukelmanschool/,Prot. christelijk,563.0,Alblasserdam,Basic School
IKC Het Palet,Van Eesterensingel 197,/basisscholen/alblasserdam/26336/ikc-het-palet/,Openbaar Basisonderwijs216,216.0,Alblasserdam,Basic School
IKC 't Nokkenwiel,Boerenpad 1,/basisscholen/alblasserdam/26338/ikc-t-nokkenwiel/,Openbaar Basisonderwijs283,283.0,Alblasserdam,Basic School
Christelijk IKC De Schalm,Kerkstraat 60,/basisscholen/alblasserdam/8450/christelijk-ikc-de-schalm/,Prot. christelijk,223.0,Alblasserdam,Basic School
Christelijk IKC De Twijn,Parallelweg 2,/basisscholen/alblasserdam/12184/christelijk-ikc-de-twijn/,Prot. christelijk,422.0,Alblasserdam,Basic School
Protestants Christelijke Basisschool Het Kompas,Scheepsbouwplein 10,/basisscholen/alblasserdam/12210/protestants-christelijke-basisschool-het-kompas/,Prot. christelijk,241.0,Alblasserdam,Basic School
Christelijke basisschool de Finne,Jancko Douwamastrjitte 45,/basisscholen/aldeboarn/22556/christelijke-basisschool-de-finne/,Prot. christelijk,75.0,Aldeboarn,Basic School
De Boarne,Tsjerkebuorren 10,/basisscholen/aldeboarn/23332/de-boarne/,Openbaar Basisonderwijs71,71.0,Aldeboarn,Basic School
Sinnehonk,Van Sminiaweg 114 B,/basisscholen/aldtsjerk/10965/sinnehonk/,Openbaar Basisonderwijs39,39.0,Aldtsjerk,Basic School
Basisschool De Tarissing Christelijk Basisonderwijs,De Wygeast 10,/basisscholen/aldwâld/25596/basisschool-de-tarissing-christelijk-basisonderwijs/,Prot. christelijk,63.0,Aldwâld,Basic School
Odradaschool,Sint Odradastraat 14,/basisscholen/alem/5794/odradaschool/,Katholiek Basisonderwijs32,32.0,Alem,Basic School
Burgemeester de Wildeschool (Alkmaar),Gabriël Metsulaan 34,/basisscholen/alkmaar/23774/burgemeester-de-wildeschool-alkmaar/,Openbaar Speciaal,18.0,Alkmaar,Basic School
An Nasr,Tooroplaan 1,/basisscholen/alkmaar/9174/an-nasr/,Confessioneel overig,131.0,Alkmaar,Basic School
DURF,Elgerweg 39,/basisscholen/alkmaar/5399/durf/,Prot. christelijk,296.0,Alkmaar,Basic School
De Alk,Van Harenlaan 23,/basisscholen/alkmaar/5498/de-alk/,Algemeen bijzonder,128.0,Alkmaar,Basic School
Rudolf Steinerschool,Sperwerstraat 1,/basisscholen/alkmaar/5990/rudolf-steinerschool/,Algemeen bijzonder,205.0,Alkmaar,Basic School
1e Montessorischool Alkmaar,Arkplein 123,/basisscholen/alkmaar/26045/1e-montessorischool-alkmaar/,Algemeen bijzonder,102.0,Alkmaar,Basic School
De Rank,Beethovensingel 19,/basisscholen/alkmaar/6964/de-rank/,Prot. christelijk,121.0,Alkmaar,Basic School
Openbare Basisschool Jules Verne,Drechterwaard 9,/basisscholen/alkmaar/11336/openbare-basisschool-jules-verne/,Openbaar Basisonderwijs192,192.0,Alkmaar,Basic School
Openbare Basisschool Liereland,Toscanestraat 4,/basisscholen/alkmaar/11337/openbare-basisschool-liereland/,Openbaar Basisonderwijs170,170.0,Alkmaar,Basic School
Montessorischool De Cilinder,Johanna Naberstraat 81,/basisscholen/alkmaar/22131/montessorischool-de-cilinder/,Openbaar Basisonderwijs92,92.0,Alkmaar,Basic School
Openbare Basisschool De Fontein,Heilooerdijk 136,/basisscholen/alkmaar/11338/openbare-basisschool-de-fontein/,Openbaar Basisonderwijs89,89.0,Alkmaar,Basic School
Openbare Basisschool De Zes Wielen,Munnikenweg 18,/basisscholen/alkmaar/11339/openbare-basisschool-de-zes-wielen/,Openbaar Basisonderwijs434,434.0,Alkmaar,Basic School
Openbare Basisschool De Vlieger,Sneeuwgansstraat 18,/basisscholen/alkmaar/7533/openbare-basisschool-de-vlieger/,Openbaar Basisonderwijs234,234.0,Alkmaar,Basic School
Openbare Vroonermeerschool,P.C. Boutensstraat 4,/basisscholen/alkmaar/24873/openbare-vroonermeerschool/,Openbaar Basisonderwijs94,94.0,Alkmaar,Basic School
Openbare Basisschool De Sterrenwachter,Stempelmakerstraat 19,/basisscholen/alkmaar/7534/openbare-basisschool-de-sterrenwachter/,Openbaar Basisonderwijs65,65.0,Alkmaar,Basic School
Openbare Basisschool De Kennemerpoort,Hofdijkstraat 12,/basisscholen/alkmaar/11341/openbare-basisschool-de-kennemerpoort/,Openbaar Basisonderwijs279,279.0,Alkmaar,Basic School
obs De Kennemerpoort,Lindenlaan 101,/basisscholen/alkmaar/22134/obs-de-kennemerpoort/,Openbaar Basisonderwijs186,186.0,Alkmaar,Basic School
obs Bello voor Jenaplanonderwijs,Snaarmanslaan 19,/basisscholen/alkmaar/22135/obs-bello-voor-jenaplanonderwijs/,Openbaar Basisonderwijs160,160.0,Alkmaar,Basic School
Openbare Basisschool Nicolaas Beets locatie Beethovensingel,Beethovensingel 17-21,/basisscholen/alkmaar/11342/openbare-basisschool-nicolaas-beets-locatie-beethovensingel/,Openbaar Basisonderwijs398,398.0,Alkmaar,Basic School
Openbare Basisschool Nicolaas Beets locatie de Hoef,Judith Leysterstraat 4,/basisscholen/alkmaar/21136/openbare-basisschool-nicolaas-beets-locatie-de-hoef/,Openbaar Basisonderwijs62,62.0,Alkmaar,Basic School
Montessori Basisschool,Jan Janslaan 4,/basisscholen/almelo/24276/montessori-basisschool/,Openbaar Basisonderwijs126,126.0,Almelo,Basic School
Basisschool St Egbertus,Arendsboerweg 5,/basisscholen/almelo/8686/basisschool-st-egbertus/,Katholiek Basisonderwijs181,181.0,Almelo,Basic School
De Noorderborch,Havezathe 99,/basisscholen/almelo/8687/de-noorderborch/,Katholiek Basisonderwijs301,301.0,Almelo,Basic School
Basisschool De Wereldboom,Bosrand 6,/basisscholen/almelo/4763/basisschool-de-wereldboom/,Katholiek Basisonderwijs169,169.0,Almelo,Basic School
Basisschool De Compaan,Maardijk 83 a,/basisscholen/almelo/4764/basisschool-de-compaan/,Katholiek Basisonderwijs163,163.0,Almelo,Basic School
Het Mozaïek,Beverdamlaan 11,/basisscholen/almelo/8770/het-mozaiek/,Algemeen bijzonder,100.0,Almelo,Basic School
De Rietpluim,Speenkruidpad 2,/basisscholen/almelo/23317/de-rietpluim/,Algemeen bijzonder,52.0,Almelo,Basic School
De Zegge,Apollolaan 1 c,/basisscholen/almelo/10297/de-zegge/,Prot. christelijk,310.0,Almelo,Basic School
De Heemde,Hanzelaan 2,/basisscholen/almelo/10298/de-heemde/,Prot. christelijk,204.0,Almelo,Basic School
De Wierde,Suze Robertsonlaan 2,/basisscholen/almelo/10299/de-wierde/,Prot. christelijk,138.0,Almelo,Basic School
De Telgenborch,Everlo 12,/basisscholen/almelo/6342/de-telgenborch/,Prot. christelijk,197.0,Almelo,Basic School
De Huve,De Kolibrie 22,/basisscholen/almelo/6343/de-huve/,Prot. christelijk,195.0,Almelo,Basic School
Protestants Christelijke Basisschool De Mare,De Rotsduif 22,/basisscholen/almelo/10301/protestants-christelijke-basisschool-de-mare/,Prot. christelijk,381.0,Almelo,Basic School
De Tandem,Havezathe 97,/basisscholen/almelo/6534/de-tandem/,Openbaar Basisonderwijs144,144.0,Almelo,Basic School
NT2-basisschool Het Palet,Catharina van Renneslaan 128,/basisscholen/almelo/21859/nt2-basisschool-het-palet/,Openbaar Basisonderwijs,,Almelo,Basic School
Het Letterveld,Hedeveld 1-3,/basisscholen/almelo/10483/het-letterveld/,Openbaar Basisonderwijs233,233.0,Almelo,Basic School
De Windhoek,Windslaan 14,/basisscholen/almelo/10484/de-windhoek/,Openbaar Basisonderwijs454,454.0,Almelo,Basic School
Basisschool De Weier,Vissedijk 35C,/basisscholen/almelo/6536/basisschool-de-weier/,Openbaar Basisonderwijs389,389.0,Almelo,Basic School
De Stapvoorde,De Kolibrie 24,/basisscholen/almelo/10485/de-stapvoorde/,Openbaar Basisonderwijs168,168.0,Almelo,Basic School
Openbare Basisschool de Kubus,Hoornbladstraat 35,/basisscholen/almelo/10486/openbare-basisschool-de-kubus/,Openbaar Basisonderwijs162,162.0,Almelo,Basic School
Julianaschool,Dorpsstraat 32,/basisscholen/almen/11417/julianaschool/,Openbaar Basisonderwijs68,68.0,Almen,Basic School
Alexander Roozendaalschool (Almere),Prokofjevstraat 3,/basisscholen/almere/23773/alexander-roozendaalschool-almere/,Openbaar Speciaal,85.0,Almere,Basic School
Shri Ganesha School,Regentesseweg 1,/basisscholen/almere/23141/shri-ganesha-school/,Confessioneel overig,110.0,Almere,Basic School
Nautilus College - Radioweg,Radioweg 35,/basisscholen/almere/4998/nautilus-college-radioweg/,Algemeen bijzonder,,Almere,Basic School
Nautilus SO,J.J. Slauerhoffstraat 51,/basisscholen/almere/26221/nautilus-so/,Algemeen bijzonder,70.0,Almere,Basic School
Islamitische Basisschool Al Iman,Harderwijkoever 3,/basisscholen/almere/9087/islamitische-basisschool-al-iman/,Confessioneel overig,356.0,Almere,Basic School
Basisschool De Ark,Middenhof 210,/basisscholen/almere/9089/basisschool-de-ark/,Prot. christelijk,169.0,Almere,Basic School
Basisschool de Driemaster,Tegelenpad 2,/basisscholen/almere/9090/basisschool-de-driemaster/,Prot. christelijk,161.0,Almere,Basic School
Basisschool de Ichthus,Rijnweg 10,/basisscholen/almere/5196/basisschool-de-ichthus/,Prot. christelijk,123.0,Almere,Basic School
Basisschool PCB Het Kompas,Binnenkruierstraat 5,/basisscholen/almere/5197/basisschool-pcb-het-kompas/,Prot. christelijk,133.0,Almere,Basic School
IKC de Regenboog,Klipgriend 1 & 3,/basisscholen/almere/5198/ikc-de-regenboog/,Prot. christelijk,442.0,Almere,Basic School
Protestants Christelijke Basisschool de Lichtboei,Luitstraat 7,/basisscholen/almere/9091/protestants-christelijke-basisschool-de-lichtboei/,Prot. christelijk,167.0,Almere,Basic School
Basisschool de Olijfboom,Bongerdstraat 2,/basisscholen/almere/9092/basisschool-de-olijfboom/,Prot. christelijk,152.0,Almere,Basic School
Protestants Christelijke Basisschool de Buitenburcht,Zonnebloemweg 66,/basisscholen/almere/5199/protestants-christelijke-basisschool-de-buitenburcht/,Prot. christelijk,395.0,Almere,Basic School
School voor Speciaal Basisonderwijs De Klimop,Rossinistraat 5,/basisscholen/almere/5200/school-voor-speciaal-basisonderwijs-de-klimop/,Algemeen bijzonder,188.0,Almere,Basic School
Basisschool De Kraanvogel,Perzikstraat 24,/basisscholen/almere/9093/basisschool-de-kraanvogel/,Prot. christelijk,354.0,Almere,Basic School
De Omnibus,J.J. Slauerhoffstraat 53,/basisscholen/almere/5201/de-omnibus/,Samenwerking Basisonderwijs557,557.0,Almere,Basic School
Protestants Christelijke Basisschool De Dukdalf,Makassarweg 68,/basisscholen/almere/5202/protestants-christelijke-basisschool-de-dukdalf/,Prot. christelijk,376.0,Almere,Basic School
De Optimist,Hildo Kropstraat 20,/basisscholen/almere/5203/de-optimist/,Samenwerking Basisonderwijs219,219.0,Almere,Basic School
Oecumenische Daltonschool De Windwijzer,Kraaiennest 4,/basisscholen/almere/9094/oecumenische-daltonschool-de-windwijzer/,Samenwerking Basisonderwijs255,255.0,Almere,Basic School
Het Drieluik,Ten Harmsen v.d. Beekpad 4,/basisscholen/almere/5204/het-drieluik/,Samenwerking Basisonderwijs737,737.0,Almere,Basic School
Basisschool d'Uylenborch,De Borchgravestraat 54,/basisscholen/almkerk/25582/basisschool-duylenborch/,Prot. christelijk,185.0,Almkerk,Basic School
Kindcentrum De Halm,Wethouder Raamsstraat 1,/basisscholen/almkerk/10843/kindcentrum-de-halm/,Prot. christelijk,103.0,Almkerk,Basic School
Basisschool De Almgaard,Knotwilg 2,/basisscholen/almkerk/7454/basisschool-de-almgaard/,Openbaar Basisonderwijs135,135.0,Almkerk,Basic School
Basisschool Mariënhof,Schoolstraat 9,/basisscholen/alphen-gelderland/9940/basisschool-marienhof/,Katholiek Basisonderwijs79,79.0,Alphen (Gelderland),Basic School
Roomskatholieke Basisschool St. Willibrordus,Van Gaverenlaan 10 a,/basisscholen/alphen-noord-brabant/8955/roomskatholieke-basisschool-st-willibrordus/,Katholiek Basisonderwijs303,303.0,Alphen (Noord-Brabant),Basic School
Rehobothschool,Anna van Burenlaan 24,/basisscholen/alphen-aan-den-rijn/4698/rehobothschool/,Prot. christelijk,120.0,Alphen aan den Rijn,Basic School
Het Spinnewiel,Klepperman 9-11,/basisscholen/alphen-aan-den-rijn/8820/het-spinnewiel/,Katholiek Basisonderwijs258,258.0,Alphen aan den Rijn,Basic School
Het Spectrum,Honingzwam 6,/basisscholen/alphen-aan-den-rijn/8821/het-spectrum/,Katholiek Basisonderwijs213,213.0,Alphen aan den Rijn,Basic School
RK basisschool Het Spectrum,Batenstein 1,/basisscholen/alphen-aan-den-rijn/21417/rk-basisschool-het-spectrum/,Katholiek Basisonderwijs162,162.0,Alphen aan den Rijn,Basic School
De Jenaplaneet,Vliestroom 204,/basisscholen/alphen-aan-den-rijn/8822/de-jenaplaneet/,Katholiek Basisonderwijs87,87.0,Alphen aan den Rijn,Basic School
De Bonifacius,Paradijslaan 11,/basisscholen/alphen-aan-den-rijn/8823/de-bonifacius/,Katholiek Basisonderwijs400,400.0,Alphen aan den Rijn,Basic School
Het Palet,Javastraat 5,/basisscholen/alphen-aan-den-rijn/24625/het-palet/,Openbaar Basisonderwijs159,159.0,Alphen aan den Rijn,Basic School
Openbare Basisschool Het Startblok,Liszthof 92,/basisscholen/alphen-aan-den-rijn/24626/openbare-basisschool-het-startblok/,Openbaar Basisonderwijs118,118.0,Alphen aan den Rijn,Basic School
Hobbitburcht-Batenstein,Batenstein 18,/basisscholen/alphen-aan-den-rijn/24582/hobbitburcht-batenstein/,Openbaar Basisonderwijs183,183.0,Alphen aan den Rijn,Basic School
De Hobbitburcht-Havixhorst,Havixhorst 252,/basisscholen/alphen-aan-den-rijn/24583/de-hobbitburcht-havixhorst/,Openbaar Basisonderwijs142,142.0,Alphen aan den Rijn,Basic School
De Meridiaan,De Oude wereld 54,/basisscholen/alphen-aan-den-rijn/4900/de-meridiaan/,Katholiek Basisonderwijs290,290.0,Alphen aan den Rijn,Basic School
De Wereldwijzer,De Oude Wereld 59,/basisscholen/alphen-aan-den-rijn/24628/de-wereldwijzer/,Openbaar Basisonderwijs143,143.0,Alphen aan den Rijn,Basic School
De Vroonhoeve,Vroonhoevelaan 8,/basisscholen/alphen-aan-den-rijn/25321/de-vroonhoeve/,Openbaar Basisonderwijs233,233.0,Alphen aan den Rijn,Basic School
Het Vianova,Vroonhoevelaan 4,/basisscholen/alphen-aan-den-rijn/4901/het-vianova/,Katholiek Basisonderwijs465,465.0,Alphen aan den Rijn,Basic School
Islamitische Basisschool An Noer,Polluxstraat 2,/basisscholen/alphen-aan-den-rijn/5028/islamitische-basisschool-an-noer/,Confessioneel overig,281.0,Alphen aan den Rijn,Basic School
Prisma Christelijke school SO,Boterbloemweg 21 B,/basisscholen/alphen-aan-den-rijn/5296/prisma-christelijke-school-so/,Prot. christelijk,106.0,Alphen aan den Rijn,Basic School
Basisschool de Rank,Lauraplein 1,/basisscholen/alphen-aan-den-rijn/5298/basisschool-de-rank/,Prot. christelijk,437.0,Alphen aan den Rijn,Basic School
Protestants Christelijke Basisschool Groen van Prinsterer,Jan Nieuwenhuijzenstraat 26,/basisscholen/alphen-aan-den-rijn/5299/protestants-christelijke-basisschool-groen-van-prinsterer/,Prot. christelijk,95.0,Alphen aan den Rijn,Basic School
Protestants Christelijke Basisschool Samen Op Weg,J.P.Coenlaan 1B,/basisscholen/alphen-aan-den-rijn/9198/protestants-christelijke-basisschool-samen-op-weg/,Prot. christelijk,146.0,Alphen aan den Rijn,Basic School
Protestants Christelijke Basisschool De Windroos,Zaalbergstraat 1,/basisscholen/alphen-aan-den-rijn/9199/protestants-christelijke-basisschool-de-windroos/,Prot. christelijk,157.0,Alphen aan den Rijn,Basic School
CBS De Wegwijzer,Nieuwstraat 17,/basisscholen/alteveer-gem-de-wolden/11757/cbs-de-wegwijzer/,Prot. christelijk,110.0,Alteveer (Gem. De Wolden),Basic School
Christelijke Basisschool de Höchte,Beumeesweg 102,/basisscholen/alteveer-groningen/9978/christelijke-basisschool-de-hochte/,Prot. christelijk,74.0,Alteveer (Groningen),Basic School
Basisschool De Tweestroom,Kerkstraat 27,/basisscholen/altforst/6021/basisschool-de-tweestroom/,Katholiek Basisonderwijs50,50.0,Altforst,Basic School
Basisschool Azelo,Secr. Engelbertinkstraat 16,/basisscholen/ambt-delden/7217/basisschool-azelo/,Openbaar Basisonderwijs37,37.0,Ambt Delden,Basic School
Basisschool Wiene,Tankinksweg 4,/basisscholen/ambt-delden/11083/basisschool-wiene/,Openbaar Basisonderwijs50,50.0,Ambt Delden,Basic School
De Kandelaar,Liesveldweg 65,/basisscholen/ameide/10218/de-kandelaar/,Prot. christelijk,280.0,Ameide,Basic School
obs de Vlindertuin,Liesveldweg 65,/basisscholen/ameide/10809/obs-de-vlindertuin/,Openbaar Basisonderwijs86,86.0,Ameide,Basic School
Basisschool De Wouter,Gerard Smuldersstraat 1,/basisscholen/america/7788/basisschool-de-wouter/,Katholiek Basisonderwijs158,158.0,America,Basic School
Wilhelminaschool,Gasthuisstraat 7,/basisscholen/amerongen/8692/wilhelminaschool/,Prot. christelijk,136.0,Amerongen,Basic School
Christelijke Basisschool De Regenboog,Prinses Beatrixlaan 34,/basisscholen/amerongen/8693/christelijke-basisschool-de-regenboog/,Prot. christelijk,207.0,Amerongen,Basic School
WereldKidz Sterrenbos,Burgemeester W. Martenslaan 29,/basisscholen/amerongen/24084/wereldkidz-sterrenbos/,Overige Basisonderwijs87,87.0,Amerongen,Basic School
Basisschool Amerfoortse School Vereniging,Johan v Oldenbarneveltln 23,/basisscholen/amersfoort/8753/basisschool-amerfoortse-school-vereniging/,Algemeen bijzonder,333.0,Amersfoort,Basic School
P.C. basisschool De Parkschool,Raadhoven 2,/basisscholen/amersfoort/8846/pc-basisschool-de-parkschool/,Prot. christelijk,186.0,Amersfoort,Basic School
