,Name,Link
48,Amersfoort,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amersfoort&weergave=Lijst
49,Ammerstol,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ammerstol&weergave=Lijst
50,Ammerzoden,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ammerzoden&weergave=Lijst
51,Amstelveen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amstelveen&weergave=Lijst
52,Amstenrade,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amstenrade&weergave=Lijst
53,Amsterdam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Amsterdam&weergave=Lijst
54,Andel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Andel&weergave=Lijst
55,Andijk,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Andijk&weergave=Lijst
56,Ane,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ane&weergave=Lijst
57,Angeren,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Angeren&weergave=Lijst
58,Angerlo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Angerlo&weergave=Lijst
59,Ankeveen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Ankeveen&weergave=Lijst
60,Anloo,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Anloo&weergave=Lijst
61,Anna Paulowna,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Anna%20Paulowna&weergave=Lijst
62,Annen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Annen&weergave=Lijst
63,Apeldoorn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Apeldoorn&weergave=Lijst
64,Appelscha,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Appelscha&weergave=Lijst
65,Appeltern,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Appeltern&weergave=Lijst
66,Appingedam,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Appingedam&weergave=Lijst
67,Arcen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arcen&weergave=Lijst
68,Arkel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arkel&weergave=Lijst
69,Arnemuiden,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arnemuiden&weergave=Lijst
70,Arnhem,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arnhem&weergave=Lijst
71,Arum,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Arum&weergave=Lijst
72,Asperen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Asperen&weergave=Lijst
73,Assen,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Assen&weergave=Lijst
74,Assendelft,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Assendelft&weergave=Lijst
75,Asten,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Asten&weergave=Lijst
76,Augustinusga,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Augustinusga&weergave=Lijst
77,Austerlitz,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Austerlitz&weergave=Lijst
78,Avenhorn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Avenhorn&weergave=Lijst
79,Axel,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Axel&weergave=Lijst
80,Azewijn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Azewijn&weergave=Lijst
81,Baambrugge,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baambrugge&weergave=Lijst
82,Baard,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baard&weergave=Lijst
83,Baarle-Nassau,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baarle-Nassau&weergave=Lijst
84,Baarlo (Limburg),https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baarlo%20(Limburg)&weergave=Lijst
85,Baarn,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Baarn&weergave=Lijst
86,Babberich,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Babberich&weergave=Lijst
87,Babyloniënbroek,https://scholenopdekaart.nl/zoeken/basisscholen?zoektermen=Babyloniënbroek&weergave=Lijst
