name,address,link,type of education,n_students,neighborhood,type
Yuverta vmbo Aalsmeer,Jac. P. Thijsselaan 18,/middelbare-scholen/aalsmeer/1713/yuverta-vmbo-aalsmeer/,Overige Voortgezet,535.0,Aalsmeer,Middle School
Yuverta mavo Aalsmeer,1e J.C. Mensinglaan 40,/middelbare-scholen/aalsmeer/1717/yuverta-mavo-aalsmeer/,Overige Voortgezet,491.0,Aalsmeer,Middle School
Chr Coll Schaersvoorde,Slingelaan 28,/middelbare-scholen/aalten/3289/chr-coll-schaersvoorde/,Prot. christelijk,1019.0,Aalten,Middle School
Chr Coll Schaersvoorde,Landbouwstraat 1,/middelbare-scholen/aalten/23137/chr-coll-schaersvoorde/,Prot. christelijk,382.0,Aalten,Middle School
Montessori College Aerdenhout,Boekenroodeweg 5,/middelbare-scholen/aerdenhout/2536/montessori-college-aerdenhout/,Samenwerking Voortgezet,427.0,Aerdenhout,Middle School
OSG Willem Blaeu,Robonsbosweg 11,/middelbare-scholen/alkmaar/481/osg-willem-blaeu/,Openbaar Voortgezet,761.0,Alkmaar,Middle School
"osg Willem Blaeu, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/482/osg-willem-blaeu-vestiging-van-der-meij-college/,Openbaar Voortgezet,219.0,Alkmaar,Middle School
De Viaan (praktijkonderwijs),Havinghastraat 11,/middelbare-scholen/alkmaar/491/de-viaan-praktijkonderwijs/,Openbaar Voortgezet,220.0,Alkmaar,Middle School
Stedelijk Dalton College Alkmaar,Arubastraat 4,/middelbare-scholen/alkmaar/493/stedelijk-dalton-college-alkmaar/,Openbaar Voortgezet,1015.0,Alkmaar,Middle School
"Stedelijk Dalton College Alkmaar, vestiiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/494/stedelijk-dalton-college-alkmaar-vestiiging-van-der-meij-college/,Openbaar Voortgezet,115.0,Alkmaar,Middle School
Murmellius Gymnasium,Bergerhout 1,/middelbare-scholen/alkmaar/498/murmellius-gymnasium/,Openbaar Voortgezet,758.0,Alkmaar,Middle School
Vonk Alkmaar (voorheen Clusius College),Drechterwaard 10,/middelbare-scholen/alkmaar/1343/vonk-alkmaar-voorheen-clusius-college/,Overige Voortgezet,528.0,Alkmaar,Middle School
Heliomare College Alkmaar,Amstelstraat 5,/middelbare-scholen/alkmaar/24199/heliomare-college-alkmaar/,Overige Voortgezet,184.0,Alkmaar,Middle School
"De Spinaker, VSO Alkmaar",Jan Ligthartstraat 7,/middelbare-scholen/alkmaar/11343/de-spinaker-vso-alkmaar/,Openbaar Voortgezet,178.0,Alkmaar,Middle School
PCC Het Lyceum,Blekerskade 11,/middelbare-scholen/alkmaar/3028/pcc-het-lyceum/,Katholiek Voortgezet,1217.0,Alkmaar,Middle School
PCC Fabritius,Fabritiusstraat 1,/middelbare-scholen/alkmaar/3029/pcc-fabritius/,Katholiek Voortgezet,360.0,Alkmaar,Middle School
PCC Oosterhout,Vondelstraat 41,/middelbare-scholen/alkmaar/3030/pcc-oosterhout/,Katholiek Voortgezet,590.0,Alkmaar,Middle School
"CSG Jan Arentsz voor vmbo, havo, vwo",Mandenmakerstraat 11,/middelbare-scholen/alkmaar/3087/csg-jan-arentsz-voor-vmbo-havo-vwo/,Prot. christelijk,1486.0,Alkmaar,Middle School
"CSG Jan Arentsz, vestiging Van der Meij College",Gravin Jacobastraat 1,/middelbare-scholen/alkmaar/3088/csg-jan-arentsz-vestiging-van-der-meij-college/,Prot. christelijk,95.0,Alkmaar,Middle School
Twents Vakcollege MOTA,Plesmanweg 31,/middelbare-scholen/almelo/4852/twents-vakcollege-mota/,Algemeen bijzonder,61.0,Almelo,Middle School
Omnis College,Cesar Franckstraat 3,/middelbare-scholen/almelo/8771/omnis-college/,Algemeen bijzonder,153.0,Almelo,Middle School
Pius X College - Aalderinkshoek,Cesar Franckstraat 4,/middelbare-scholen/almelo/897/pius-x-college-aalderinkshoek/,Katholiek Voortgezet,531.0,Almelo,Middle School
Pius X College - Alma College,Catharina van Renneslaan 35,/middelbare-scholen/almelo/898/pius-x-college-alma-college/,Samenwerking Voortgezet,245.0,Almelo,Middle School
Sg. Canisius - Almelo,Slot 31,/middelbare-scholen/almelo/923/sg-canisius-almelo/,Katholiek Voortgezet,728.0,Almelo,Middle School
Het Noordik Lyceum,Noordikslaan 68,/middelbare-scholen/almelo/1173/het-noordik-lyceum/,Prot. christelijk,1332.0,Almelo,Middle School
Het Noordik - vestiging Alma College,Sluiskade Noordzijde 126a,/middelbare-scholen/almelo/1174/het-noordik-vestiging-alma-college/,Prot. christelijk,340.0,Almelo,Middle School
Het Erasmus mavo havo vwo,Sluiskade Noordzijde 68,/middelbare-scholen/almelo/1570/het-erasmus-mavo-havo-vwo/,Openbaar Voortgezet,1404.0,Almelo,Middle School
Het Erasmus - Alma College,Sluiskade Noordzijde 126A,/middelbare-scholen/almelo/1571/het-erasmus-alma-college/,Openbaar Voortgezet,310.0,Almelo,Middle School
Het Erasmus isk,Cesar Franckstraat 1,/middelbare-scholen/almelo/24563/het-erasmus-isk/,Openbaar Voortgezet,337.0,Almelo,Middle School
Het Erasmus praktijkonderwijs (pro),Horstlaan 1,/middelbare-scholen/almelo/1573/het-erasmus-praktijkonderwijs-pro/,Openbaar Voortgezet,157.0,Almelo,Middle School
Zone.college vmbo Almelo,Bornerbroeksestraat 348,/middelbare-scholen/almelo/24906/zonecollege-vmbo-almelo/,Overige Voortgezet,780.0,Almelo,Middle School
VSO De Veenlanden (voortgezet speciaal onderwijs -cluster 4),Vriezenveenseweg 229,/middelbare-scholen/almelo/8499/vso-de-veenlanden-voortgezet-speciaal-onderwijs-cluster-4/,Confessioneel overig,103.0,Almelo,Middle School
Dr Herderscheeschool,Schapendijk 3,/middelbare-scholen/almelo/24739/dr-herderscheeschool/,Algemeen bijzonder,212.0,Almelo,Middle School
Nautilus College - Radioweg,Radioweg 35,/middelbare-scholen/almere/4998/nautilus-college-radioweg/,Algemeen bijzonder,87.0,Almere,Middle School
Nautilus College - Paul Kleestraat,Paul Kleestraat 35,/middelbare-scholen/almere/26219/nautilus-college-paul-kleestraat/,Algemeen bijzonder,124.0,Almere,Middle School
Nautilus College - Lierstraat,Lierstraat 17,/middelbare-scholen/almere/26220/nautilus-college-lierstraat/,Algemeen bijzonder,163.0,Almere,Middle School
Aeres VMBO Almere,Heliumweg 1,/middelbare-scholen/almere/1381/aeres-vmbo-almere/,Samenwerking Voortgezet,904.0,Almere,Middle School
OSG Echnaton,Zwolleweg 1,/middelbare-scholen/almere/2577/osg-echnaton/,Openbaar Voortgezet,947.0,Almere,Middle School
Openbare SGM Helen Parkhurst,Bongerdstraat 1,/middelbare-scholen/almere/2578/openbare-sgm-helen-parkhurst/,Openbaar Voortgezet,1801.0,Almere,Middle School
Openbare Scholengemeenschap Echnaton,Walt Disneyplantsoen 88,/middelbare-scholen/almere/23167/openbare-scholengemeenschap-echnaton/,Openbaar Voortgezet,186.0,Almere,Middle School
OSG De Meergronden,Marktgracht 65,/middelbare-scholen/almere/2580/osg-de-meergronden/,Openbaar Voortgezet,1240.0,Almere,Middle School
Arte College,Oostenrijkstraat 2,/middelbare-scholen/almere/2581/arte-college/,Openbaar Voortgezet,864.0,Almere,Middle School
Pro-Bachweg,J.S. Bachweg 7,/middelbare-scholen/almere/2584/pro-bachweg/,Openbaar Voortgezet,149.0,Almere,Middle School
Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoo,A. Boekenweg 3,/middelbare-scholen/almere/26120/oostvaarders-college-voor-lyceum-havo-mavo-vbo-lwoo/,Overige Voortgezet,1492.0,Almere,Middle School
Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoolocatie Buitenhout,Ambonstraat 2,/middelbare-scholen/almere/26121/oostvaarders-college-voor-lyceum-havo-mavo-vbo-lwoolocatie-buitenhout/,Overige Voortgezet,830.0,Almere,Middle School
Oostvaarders Coll. voor Lyceum Havo Mavo Vbo Lwoo loc. Montessori Lyc. Flevoland,Ambonstraat 5,/middelbare-scholen/almere/26122/oostvaarders-coll-voor-lyceum-havo-mavo-vbo-lwoo-loc-montessori-lyc-flevoland/,Overige Voortgezet,558.0,Almere,Middle School
Pro-Tom Poesstraat,Tom Poesstraat 2,/middelbare-scholen/almere/2587/pro-tom-poesstraat/,Overige Voortgezet,171.0,Almere,Middle School
Pro-Koningsbeltstraat,Koningsbeltstraat 4,/middelbare-scholen/almere/22450/pro-koningsbeltstraat/,Openbaar Voortgezet,154.0,Almere,Middle School
Olivijn,Marathonlaan 7,/middelbare-scholen/almere/7458/olivijn/,Algemeen bijzonder,,Almere,Middle School
Aventurijn,Marathonlaan 13,/middelbare-scholen/almere/26243/aventurijn/,Algemeen bijzonder,192.0,Almere,Middle School
Stad College,Rooseveltweg 7,/middelbare-scholen/almere/4412/stad-college/,Confessioneel overig,498.0,Almere,Middle School
Park Lyceum,Bunuellaan 4,/middelbare-scholen/almere/4413/park-lyceum/,Overige Voortgezet,1575.0,Almere,Middle School
Trinitas Gymnasium,"Sas van Gentlaan 6
1324 CT Almere",/middelbare-scholen/almere/4466/trinitas-gymnasium/,Overige Voortgezet,629.0,Almere,Middle School
Poort Lyceum,Pim Mulierstraat 102,/middelbare-scholen/almere/4414/poort-lyceum/,Overige Voortgezet,633.0,Almere,Middle School
International School Almere,Heliumweg 61,/middelbare-scholen/almere/22477/international-school-almere/,Overige Voortgezet,294.0,Almere,Middle School
"Ashram College KSG voor vwo, havo, mavo en vbo",Marsdiep 289,/middelbare-scholen/alphen-aan-den-rijn/26132/ashram-college-ksg-voor-vwo-havo-mavo-en-vbo/,Overige Voortgezet,753.0,Alphen aan den Rijn,Middle School
VSO Prisma,Meerkoetstraat 3,/middelbare-scholen/alphen-aan-den-rijn/23862/vso-prisma/,Prot. christelijk,83.0,Alphen aan den Rijn,Middle School
Groene Hart Leerpark,Prinses Beatrixlaan 4,/middelbare-scholen/alphen-aan-den-rijn/1218/groene-hart-leerpark/,Overige Voortgezet,753.0,Alphen aan den Rijn,Middle School
Groene Hart Lyceum,Tolstraat 11,/middelbare-scholen/alphen-aan-den-rijn/1219/groene-hart-lyceum/,Overige Voortgezet,1570.0,Alphen aan den Rijn,Middle School
Groene Hart Topmavo,Tolstraat 9,/middelbare-scholen/alphen-aan-den-rijn/22489/groene-hart-topmavo/,Overige Voortgezet,768.0,Alphen aan den Rijn,Middle School
Groene Hart Praktijkschool,Anna van Burenlaan 15,/middelbare-scholen/alphen-aan-den-rijn/1225/groene-hart-praktijkschool/,Prot. christelijk,158.0,Alphen aan den Rijn,Middle School
Yuverta chr. vmbo Alphen aan den Rijn,Kalkovenweg 62,/middelbare-scholen/alphen-aan-den-rijn/1720/yuverta-chr-vmbo-alphen-aan-den-rijn/,Prot. christelijk,510.0,Alphen aan den Rijn,Middle School
Scala College - onderbouwlocatie Kees Mustersstraat,Kees Mustersstraat 6,/middelbare-scholen/alphen-aan-den-rijn/2383/scala-college-onderbouwlocatie-kees-mustersstraat/,Openbaar Voortgezet,788.0,Alphen aan den Rijn,Middle School
Scala College - locatie Henry Dunantweg,Henry Dunantweg 2,/middelbare-scholen/alphen-aan-den-rijn/22445/scala-college-locatie-henry-dunantweg/,Openbaar Voortgezet,771.0,Alphen aan den Rijn,Middle School
Scala College - bovenbouwlocatie Sacharovlaan (t)vwo,Dr. A.D. Sacharovlaan 1,/middelbare-scholen/alphen-aan-den-rijn/22482/scala-college-bovenbouwlocatie-sacharovlaan-tvwo/,Openbaar Voortgezet,440.0,Alphen aan den Rijn,Middle School
Rijnstroom College,Ds. Meijerlaan 14,/middelbare-scholen/alphen-aan-den-rijn/11798/rijnstroom-college/,Algemeen bijzonder,120.0,Alphen aan den Rijn,Middle School
Rijnhove hand in hand,Ds. Meijerlaan 14,/middelbare-scholen/alphen-aan-den-rijn/24966/rijnhove-hand-in-hand/,Algemeen bijzonder,7.0,Alphen aan den Rijn,Middle School
Beekdal VSO,Heiligenbergerweg 185,/middelbare-scholen/amersfoort/25575/beekdal-vso/,Overige Voortgezet,156.0,Amersfoort,Middle School
Het Nieuwe Eemland,Daam Fockemalaan 12,/middelbare-scholen/amersfoort/1066/het-nieuwe-eemland/,Katholiek Voortgezet,1130.0,Amersfoort,Middle School
Mavo Muurhuizen,Zangvogelweg 4,/middelbare-scholen/amersfoort/1067/mavo-muurhuizen/,Katholiek Voortgezet,707.0,Amersfoort,Middle School
't Hooghe Landt,Trompetstraat 1,/middelbare-scholen/amersfoort/1069/t-hooghe-landt/,Katholiek Voortgezet,1228.0,Amersfoort,Middle School
Het Element,Kaliumweg 2,/middelbare-scholen/amersfoort/1070/het-element/,Katholiek Voortgezet,318.0,Amersfoort,Middle School
GSG Guido,Paladijnenweg 251,/middelbare-scholen/amersfoort/1152/gsg-guido/,Prot. christelijk,632.0,Amersfoort,Middle School
GSG Guido VMBO,Hardwareweg 11,/middelbare-scholen/amersfoort/1154/gsg-guido-vmbo/,Prot. christelijk,481.0,Amersfoort,Middle School
GSG Guido,Paladijnenweg 253,/middelbare-scholen/amersfoort/4454/gsg-guido/,Prot. christelijk,446.0,Amersfoort,Middle School
Yuverta vmbo Amersfoort,Bergenboulevard 11,/middelbare-scholen/amersfoort/1709/yuverta-vmbo-amersfoort/,Overige Voortgezet,487.0,Amersfoort,Middle School
Axia College,Utrechtseweg 266,/middelbare-scholen/amersfoort/25119/axia-college/,Openbaar Voortgezet,,Amersfoort,Middle School
Axia College Onderbouw,Utrechtseweg 266,/middelbare-scholen/amersfoort/24869/axia-college-onderbouw/,Openbaar Voortgezet,330.0,Amersfoort,Middle School
Joh van Oldenbarnevelt Gymnasium,Thorbeckeplein 1,/middelbare-scholen/amersfoort/1818/joh-van-oldenbarnevelt-gymnasium/,Openbaar Voortgezet,839.0,Amersfoort,Middle School
Openbaar Lyceum De Amersfoortse Berg,Hooglandsweg-Noord 55,/middelbare-scholen/amersfoort/1820/openbaar-lyceum-de-amersfoortse-berg/,Openbaar Voortgezet,1205.0,Amersfoort,Middle School
't Atrium,Paladijnenweg 611,/middelbare-scholen/amersfoort/1822/t-atrium/,Openbaar Voortgezet,1000.0,Amersfoort,Middle School
VMBO Trivium College,Dierenriem 11,/middelbare-scholen/amersfoort/1823/vmbo-trivium-college/,Openbaar Voortgezet,271.0,Amersfoort,Middle School
Amsfort College,Columbusweg 40,/middelbare-scholen/amersfoort/1824/amsfort-college/,Openbaar Voortgezet,278.0,Amersfoort,Middle School
Vathorst College,Lovink 6,/middelbare-scholen/amersfoort/1825/vathorst-college/,Openbaar Voortgezet,1005.0,Amersfoort,Middle School
PRO33college (Praktijkonderwijs Trivium College),Wiekslag 50,/middelbare-scholen/amersfoort/22433/pro33college-praktijkonderwijs-trivium-college/,Openbaar Voortgezet,94.0,Amersfoort,Middle School
Farel College,Paladijnenweg 101,/middelbare-scholen/amersfoort/2060/farel-college/,Prot. christelijk,1305.0,Amersfoort,Middle School
"Meerwegen College, vestiging Taalcentrum Amersfoort",Magnesiumweg 4,/middelbare-scholen/amersfoort/26524/meerwegen-college-vestiging-taalcentrum-amersfoort/,Overige Voortgezet,187.0,Amersfoort,Middle School
Corderius College,De Ganskuijl 105,/middelbare-scholen/amersfoort/2062/corderius-college/,Prot. christelijk,1815.0,Amersfoort,Middle School
Het Element,Kaliumweg 2,/middelbare-scholen/amersfoort/2063/het-element/,Prot. christelijk,267.0,Amersfoort,Middle School
Meerwegen College,Euroweg 23,/middelbare-scholen/amersfoort/24180/meerwegen-college/,Prot. christelijk,70.0,Amersfoort,Middle School
PRO33college (Accent Amersfoort),Wiekslag 50,/middelbare-scholen/amersfoort/2069/pro33college-accent-amersfoort/,Prot. christelijk,99.0,Amersfoort,Middle School
Van Lodenstein College locatie Amersfoort,Utrechtseweg 228,/middelbare-scholen/amersfoort/2612/van-lodenstein-college-locatie-amersfoort/,Prot. christelijk,1080.0,Amersfoort,Middle School
"PrO De Baander, praktijkonderwijs",Zangvogelweg 152,/middelbare-scholen/amersfoort/2878/pro-de-baander-praktijkonderwijs/,Katholiek Voortgezet,246.0,Amersfoort,Middle School
Hermann Wesselink College,Startbaan 3,/middelbare-scholen/amstelveen/1963/hermann-wesselink-college/,Prot. christelijk,1848.0,Amstelveen,Middle School
Amstelveen College - Stichting Openbaar Voortgezet Onderwijs Amstelveen,Sportlaan 27,/middelbare-scholen/amstelveen/2823/amstelveen-college-stichting-openbaar-voortgezet-onderwijs-amstelveen/,Openbaar Voortgezet,1672.0,Amstelveen,Middle School
Scholengemeenschap Panta Rhei,Pandora 1-2 / Postbus 590,/middelbare-scholen/amstelveen/2914/scholengemeenschap-panta-rhei/,Algemeen bijzonder,561.0,Amstelveen,Middle School
Keizer Karel College,Elegast 5,/middelbare-scholen/amstelveen/3035/keizer-karel-college/,Overige Voortgezet,1761.0,Amstelveen,Middle School
Barlaeus Gymnasium,Weteringschans 31,/middelbare-scholen/amsterdam/395/barlaeus-gymnasium/,Openbaar Voortgezet,801.0,Amsterdam,Middle School
Vossius Gymnasium,Messchaertstraat 1,/middelbare-scholen/amsterdam/397/vossius-gymnasium/,Openbaar Voortgezet,843.0,Amsterdam,Middle School
Stichting De Nieuwe School,Herengracht 274,/middelbare-scholen/amsterdam/3352/stichting-de-nieuwe-school/,Overige Voortgezet,,Amsterdam,Middle School
Joodse SGM Maimonides,Noordbrabantstraat 15-17,/middelbare-scholen/amsterdam/675/joodse-sgm-maimonides/,Algemeen bijzonder,165.0,Amsterdam,Middle School
VierTaal College Amsterdam,Zekeringstraat 45,/middelbare-scholen/amsterdam/23895/viertaal-college-amsterdam/,Openbaar Voortgezet,252.0,Amsterdam,Middle School
Montessori Lyceum Amsterdam - Hoofdlocatie,Pieter de Hoochstraat 59,/middelbare-scholen/amsterdam/684/montessori-lyceum-amsterdam-hoofdlocatie/,Overige Voortgezet,1028.0,Amsterdam,Middle School
IVKO - Leren van Kunst,Rustenburgerstraat 15,/middelbare-scholen/amsterdam/685/ivko-leren-van-kunst/,Algemeen bijzonder,539.0,Amsterdam,Middle School
Metis Montessori Lyceum . vwo . havo,Mauritskade 58,/middelbare-scholen/amsterdam/686/metis-montessori-lyceum-vwo-havo/,Algemeen bijzonder,1035.0,Amsterdam,Middle School
Montessori Lyceum Oostpoort,Polderweg 3,/middelbare-scholen/amsterdam/687/montessori-lyceum-oostpoort/,Algemeen bijzonder,989.0,Amsterdam,Middle School
Kiem Montessori,Tweede Oosterparkstraat 33,/middelbare-scholen/amsterdam/688/kiem-montessori/,Algemeen bijzonder,227.0,Amsterdam,Middle School
Montessori Lyceum Amsterdam - Van Ostadestraat,Van Ostadestraat 103,/middelbare-scholen/amsterdam/4453/montessori-lyceum-amsterdam-van-ostadestraat/,Algemeen bijzonder,494.0,Amsterdam,Middle School
Montessori Lyceum Amsterdam - C. van Eesterenlaan,C. van Eesterenlaan 50,/middelbare-scholen/amsterdam/25731/montessori-lyceum-amsterdam-c-van-eesterenlaan/,Algemeen bijzonder,333.0,Amsterdam,Middle School
"Montessori SGM Amsterdam voor Lyceum Havo Mavo Vbo Lwoo, Oostpoort Nieuwkomers",Cornelis Krusemanstraat 68,/middelbare-scholen/amsterdam/26521/montessori-sgm-amsterdam-voor-lyceum-havo-mavo-vbo-lwoo-oostpoort-nieuwkomers/,Overige Voortgezet,339.0,Amsterdam,Middle School
Het Amsterdams Lyceum,Valeriusplein 15,/middelbare-scholen/amsterdam/691/het-amsterdams-lyceum/,Algemeen bijzonder,1087.0,Amsterdam,Middle School
MUNDUS College Amsterdam,Burg. Hogguerstraat 2,/middelbare-scholen/amsterdam/1266/mundus-college-amsterdam/,Algemeen bijzonder,1000.0,Amsterdam,Middle School
DENISE,Piet Mondriaanstraat 140,/middelbare-scholen/amsterdam/1267/denise/,Overige Voortgezet,590.0,Amsterdam,Middle School
Berlage Lyceum,Pieter Lodewijk Takstraat 33,/middelbare-scholen/amsterdam/1268/berlage-lyceum/,Overige Voortgezet,1209.0,Amsterdam,Middle School
Marcanti College,Jan van Galenstraat 31,/middelbare-scholen/amsterdam/1269/marcanti-college/,Overige Voortgezet,400.0,Amsterdam,Middle School
Het Cartesius Lyceum,Frederik Hendrikplantsoen 7A,/middelbare-scholen/amsterdam/1270/het-cartesius-lyceum/,Algemeen bijzonder,661.0,Amsterdam,Middle School
Spring High,Herman Poortstraat 17,/middelbare-scholen/amsterdam/1271/spring-high/,Algemeen bijzonder,285.0,Amsterdam,Middle School
Amsterdam International Community School (AICS),A.J. Ernststraat 1179,/middelbare-scholen/amsterdam/1272/amsterdam-international-community-school-aics/,Algemeen bijzonder,635.0,Amsterdam,Middle School
"ALASCA (vwo+, havo/vwo en IB)",Geertje Wielemaplein 1,/middelbare-scholen/amsterdam/24126/alasca-vwo-havo-vwo-en-ib/,Algemeen bijzonder,662.0,Amsterdam,Middle School
Esprit Scholen voor Lyceum Havo mavo Vbo Lwoo,Darlingstraat 2,/middelbare-scholen/amsterdam/26118/esprit-scholen-voor-lyceum-havo-mavo-vbo-lwoo/,Overige Voortgezet,322.0,Amsterdam,Middle School
Het 4e Gymnasium,Archangelweg 4,/middelbare-scholen/amsterdam/3271/het-4e-gymnasium/,Algemeen bijzonder,826.0,Amsterdam,Middle School
Vonk Amsterdam (voorheen Clusius College),Rode Kruisstraat 40,/middelbare-scholen/amsterdam/1345/vonk-amsterdam-voorheen-clusius-college/,Overige Voortgezet,371.0,Amsterdam,Middle School
Sint Ignatiusgymnasium,Jan van Eijckstraat 47,/middelbare-scholen/amsterdam/1433/sint-ignatiusgymnasium/,Katholiek Voortgezet,782.0,Amsterdam,Middle School
Fons Vitae Lyceum,Reijnier Vinkeleskade 53,/middelbare-scholen/amsterdam/1435/fons-vitae-lyceum/,Katholiek Voortgezet,1060.0,Amsterdam,Middle School
St. Nicolaaslyceum,Beethovenplein 2,/middelbare-scholen/amsterdam/1437/st-nicolaaslyceum/,Katholiek Voortgezet,1216.0,Amsterdam,Middle School
Ir. Lely Lyceum,Ravenswaaipad 3,/middelbare-scholen/amsterdam/1641/ir-lely-lyceum/,Openbaar Voortgezet,1109.0,Amsterdam,Middle School
Yuverta vmbo Amsterdam-West,Jan van Zutphenstraat 60,/middelbare-scholen/amsterdam/1714/yuverta-vmbo-amsterdam-west/,Overige Voortgezet,252.0,Amsterdam,Middle School
Yuverta vmbo Amsterdam-Oost,Archimedesplantsoen 87,/middelbare-scholen/amsterdam/1715/yuverta-vmbo-amsterdam-oost/,Overige Voortgezet,281.0,Amsterdam,Middle School
Het Hervormd Lyceum West,Hemsterhuisstraat 79,/middelbare-scholen/amsterdam/1958/het-hervormd-lyceum-west/,Prot. christelijk,802.0,Amsterdam,Middle School
HLZ,Brahmsstraat 7,/middelbare-scholen/amsterdam/1960/hlz/,Prot. christelijk,960.0,Amsterdam,Middle School
Chr Sgm Buitenveldert,De Cuserstraat 3,/middelbare-scholen/amsterdam/1968/chr-sgm-buitenveldert/,Prot. christelijk,848.0,Amsterdam,Middle School
Geert Groote College Amsterdam,Fred. Roeskestraat 84,/middelbare-scholen/amsterdam/1971/geert-groote-college-amsterdam/,Overige Voortgezet,923.0,Amsterdam,Middle School
Kairos Tienercollege,Schoenerstraat 7,/middelbare-scholen/amsterdam/25732/kairos-tienercollege/,Overige Voortgezet,50.0,Amsterdam,Middle School
Orion College Zuidoost,Bijlmerdreef 1289-2,/middelbare-scholen/amsterdam/6359/orion-college-zuidoost/,Openbaar Voortgezet,86.0,Amsterdam,Middle School
Drostenburg,Drostenburg 1,/middelbare-scholen/amsterdam/10318/drostenburg/,Openbaar Voortgezet,36.0,Amsterdam,Middle School
Orion College Drostenburg,Drostenburg 5 B,/middelbare-scholen/amsterdam/6360/orion-college-drostenburg/,Openbaar Voortgezet,286.0,Amsterdam,Middle School
Orion College Amstel,Wibautstraat 220 -222,/middelbare-scholen/amsterdam/10323/orion-college-amstel/,Openbaar Voortgezet,138.0,Amsterdam,Middle School
Nevenvestiging OC Amstel,Bok de Korverweg 4,/middelbare-scholen/amsterdam/25099/nevenvestiging-oc-amstel/,Openbaar Voortgezet,,Amsterdam,Middle School
Orion College Noord,Beijerlandstraat 2,/middelbare-scholen/amsterdam/6363/orion-college-noord/,Openbaar Voortgezet,120.0,Amsterdam,Middle School
Spinoza Lyceum Amsterdam,Peter van Anrooystraat 8,/middelbare-scholen/amsterdam/2400/spinoza-lyceum-amsterdam/,Openbaar Voortgezet,1307.0,Amsterdam,Middle School
Spinoza20first,H.J.E. Wenckebachweg 44,/middelbare-scholen/amsterdam/24187/spinoza20first/,Openbaar Voortgezet,895.0,Amsterdam,Middle School
IJburg College,Pampuslaan 1,/middelbare-scholen/amsterdam/2479/ijburg-college/,Algemeen bijzonder,755.0,Amsterdam,Middle School
Calandlyceum,Pieter Calandlaan 182,/middelbare-scholen/amsterdam/2689/calandlyceum/,Openbaar Voortgezet,1652.0,Amsterdam,Middle School
Lumion,Vlaardingenlaan 25,/middelbare-scholen/amsterdam/22447/lumion/,Openbaar Voortgezet,1518.0,Amsterdam,Middle School
"Hubertus & Berkhoff, De Culinaire Vakschool",Betuwestraat 29,/middelbare-scholen/amsterdam/25726/hubertus-en-berkhoff-de-culinaire-vakschool/,Algemeen bijzonder,528.0,Amsterdam,Middle School
Cburg College,Foekje Dillemastraat 116,/middelbare-scholen/amsterdam/25728/cburg-college/,Algemeen bijzonder,324.0,Amsterdam,Middle School
Tobiasschool VMBO (Tussenvoorziening),Rietwijkerstraat 55,/middelbare-scholen/amsterdam/25724/tobiasschool-vmbo-tussenvoorziening/,Algemeen bijzonder,190.0,Amsterdam,Middle School
LUCA Praktijkschool,Javaplantsoen 24,/middelbare-scholen/amsterdam/25729/luca-praktijkschool/,Algemeen bijzonder,180.0,Amsterdam,Middle School
De nieuwe Havo,Meeuwenlaan 132,/middelbare-scholen/amsterdam/2703/de-nieuwe-havo/,Openbaar Voortgezet,249.0,Amsterdam,Middle School
Bredero Beroepscollege,Meeuwenlaan 132,/middelbare-scholen/amsterdam/2704/bredero-beroepscollege/,Openbaar Voortgezet,135.0,Amsterdam,Middle School
Bredero Mavo,Gare du Nord 5,/middelbare-scholen/amsterdam/2705/bredero-mavo/,Openbaar Voortgezet,527.0,Amsterdam,Middle School
Hyperion Lyceum,Badhuiskade 361,/middelbare-scholen/amsterdam/4463/hyperion-lyceum/,Openbaar Voortgezet,855.0,Amsterdam,Middle School
Vox College,Meeuwenlaan 132,/middelbare-scholen/amsterdam/25395/vox-college/,Openbaar Voortgezet,277.0,Amsterdam,Middle School
Koninklijke Visio Onderwijs Amsterdam,Burgemeester Eliasstraat 76,/middelbare-scholen/amsterdam/7547/koninklijke-visio-onderwijs-amsterdam/,Algemeen bijzonder,43.0,Amsterdam,Middle School
Open Schoolgemeenschap Bijlmer,Gulden Kruis 5,/middelbare-scholen/amsterdam/3300/open-schoolgemeenschap-bijlmer/,Openbaar Voortgezet,1279.0,Amsterdam,Middle School
Pieter Nieuwland College,Nobelweg 6,/middelbare-scholen/amsterdam/4434/pieter-nieuwland-college/,Confessioneel overig,846.0,Amsterdam,Middle School
College De Meer,Radioweg 56,/middelbare-scholen/amsterdam/4467/college-de-meer/,Confessioneel overig,394.0,Amsterdam,Middle School
Bindelmeer College,Dubbelink 1,/middelbare-scholen/amsterdam/4435/bindelmeer-college/,Confessioneel overig,380.0,Amsterdam,Middle School
Cygnus Gymnasium,Vrolikstraat 8,/middelbare-scholen/amsterdam/4415/cygnus-gymnasium/,Confessioneel overig,807.0,Amsterdam,Middle School
Havo De Hof,Dapperstraat 315,/middelbare-scholen/amsterdam/23724/havo-de-hof/,Confessioneel overig,413.0,Amsterdam,Middle School
