name,address,link,type of education,n_students,neighborhood,type
St. Bonifatiuscollege,Burgemeester Fockema Andreaelaan 7-9,/middelbare-scholen/utrecht/1020/st-bonifatiuscollege/,Katholiek Voortgezet,1588.0,Utrecht,Middle School
Gerrit Rietveld College,Eykmanlaan 1200,/middelbare-scholen/utrecht/1024/gerrit-rietveld-college/,Confessioneel overig,1321.0,Utrecht,Middle School
Christelijk Gymnasium Utrecht,Koningsbergerstraat 2,/middelbare-scholen/utrecht/1026/christelijk-gymnasium-utrecht/,Prot. christelijk,947.0,Utrecht,Middle School
Globe College Utrecht vmbo,Bontekoelaan 1,/middelbare-scholen/utrecht/1033/globe-college-utrecht-vmbo/,Confessioneel overig,750.0,Utrecht,Middle School
Yuverta vmbo Utrecht,Theo Thijssenplein 32,/middelbare-scholen/utrecht/1711/yuverta-vmbo-utrecht/,Overige Voortgezet,438.0,Utrecht,Middle School
De Passie Utrecht,Zwarte Woud 211,/middelbare-scholen/utrecht/1735/de-passie-utrecht/,Overige Voortgezet,955.0,Utrecht,Middle School
Mytylschool Ariane de Ranitz VSO,Blauwe Vogelweg 11,/middelbare-scholen/utrecht/6129/mytylschool-ariane-de-ranitz-vso/,Algemeen bijzonder,16.0,Utrecht,Middle School
College De Kleine Prins Utrecht,Blauwe Vogelweg 11,/middelbare-scholen/utrecht/26101/college-de-kleine-prins-utrecht/,Algemeen bijzonder,174.0,Utrecht,Middle School
Kromme Rijn College,Kranenburgerweg 20,/middelbare-scholen/utrecht/23803/kromme-rijn-college/,Openbaar Voortgezet,268.0,Utrecht,Middle School
Utrechts Stedelijk Gymnasium,Ina Boudier Bakkerlaan 7,/middelbare-scholen/utrecht/2311/utrechts-stedelijk-gymnasium/,Openbaar Voortgezet,1138.0,Utrecht,Middle School
Pouwer College,La Bohemedreef 7,/middelbare-scholen/utrecht/2313/pouwer-college/,Openbaar Voortgezet,191.0,Utrecht,Middle School
Trajectum College,Vader Rijndreef 7-9,/middelbare-scholen/utrecht/2315/trajectum-college/,Openbaar Voortgezet,447.0,Utrecht,Middle School
Leidsche Rijn College,Maartvlinder 1,/middelbare-scholen/utrecht/2319/leidsche-rijn-college/,Openbaar Voortgezet,1686.0,Utrecht,Middle School
"Ithaka, internationale schakelklassen",La Bohemedreef 7,/middelbare-scholen/utrecht/2321/ithaka-internationale-schakelklassen/,Openbaar Voortgezet,653.0,Utrecht,Middle School
"X11, media en vormgeving",Vondellaan 178,/middelbare-scholen/utrecht/2322/x11-media-en-vormgeving/,Openbaar Voortgezet,596.0,Utrecht,Middle School
Academie Tien,Philipsguldenhof 100,/middelbare-scholen/utrecht/23733/academie-tien/,Openbaar Voortgezet,974.0,Utrecht,Middle School
"Ithaka, internationale schakelklassen",Stroyenborchdreef 2,/middelbare-scholen/utrecht/24568/ithaka-internationale-schakelklassen/,Openbaar Voortgezet,338.0,Utrecht,Middle School
"NUOVO Scholen, opb. vmbo, havo, vwo - X11 Noordse Parklaan",Noordse Parklaan 2 -4,/middelbare-scholen/utrecht/26559/nuovo-scholen-opb-vmbo-havo-vwo-x11-noordse-parklaan/,Openbaar Voortgezet,255.0,Utrecht,Middle School
"NUOVO Scholen, opb. vmbo, havo, vwo - X11 Nieuw Welgelegen",Grebbeberglaan 11,/middelbare-scholen/utrecht/26560/nuovo-scholen-opb-vmbo-havo-vwo-x11-nieuw-welgelegen/,Openbaar Voortgezet,236.0,Utrecht,Middle School
UniC,Van Bijnkershoeklaan 2,/middelbare-scholen/utrecht/22452/unic/,Openbaar Voortgezet,1006.0,Utrecht,Middle School
International school Utrecht,Van Bijnkershoeklaan 8,/middelbare-scholen/utrecht/23166/international-school-utrecht/,Openbaar Voortgezet,516.0,Utrecht,Middle School
Pvo Utrecht Tjalling Koopmans College,Wittevrouwenkade 4,/middelbare-scholen/utrecht/24572/pvo-utrecht-tjalling-koopmans-college/,Overige Voortgezet,216.0,Utrecht,Middle School
Prof Fritz Redlschool voor Langdurig Zieke Kinderen,Heidelberglaan 100,/middelbare-scholen/utrecht/7832/prof-fritz-redlschool-voor-langdurig-zieke-kinderen/,Algemeen bijzonder,32.0,Utrecht,Middle School
Kentalis College Utrecht,Slotlaan 37,/middelbare-scholen/utrecht/23944/kentalis-college-utrecht/,Algemeen bijzonder,98.0,Utrecht,Middle School
STIP VSO Utrecht,Europalaan 89,/middelbare-scholen/utrecht/7991/stip-vso-utrecht/,Samenwerking Voortgezet,254.0,Utrecht,Middle School
Encanto (voortgezet) speciaal onderwijs,Onderstestraat 29,/middelbare-scholen/valkenburg-limburg/8290/encanto-voortgezet-speciaal-onderwijs/,Katholiek Voortgezet,148.0,Valkenburg (Limburg),Middle School
SG Were Di,Merendreef 1,/middelbare-scholen/valkenswaard/1939/sg-were-di/,Katholiek Voortgezet,2359.0,Valkenswaard,Middle School
Winkler Prins openbare school voor voortgezet onderwijs/J.G. Pinksterstraat 26,J.G. Pinksterstraat 26,/middelbare-scholen/veendam/22429/winkler-prins-openbare-school-voor-voortgezet-onderwijs-jg-pinksterstraat-26/,Openbaar Voortgezet,1070.0,Veendam,Middle School
"Winkler Prins openbare school voor voortgezet onderwijs, Praktijkschool",Jan Salwaplein 2,/middelbare-scholen/veendam/401/winkler-prins-openbare-school-voor-voortgezet-onderwijs-praktijkschool/,Openbaar Voortgezet,101.0,Veendam,Middle School
Winkler Prins openbare school voor voortgezet onderwijs/RL11,Raadsgildenlaan 11,/middelbare-scholen/veendam/22503/winkler-prins-openbare-school-voor-voortgezet-onderwijs-rl11/,Openbaar Voortgezet,167.0,Veendam,Middle School
Openbare Scholengemeenschap Winkler Prins voor ATH HAVO MAVO VBO LWOO,Raadsgildenlaan 7,/middelbare-scholen/veendam/26214/openbare-scholengemeenschap-winkler-prins-voor-ath-havo-mavo-vbo-lwoo/,Openbaar Voortgezet,422.0,Veendam,Middle School
Openbare Scholengemeenschap Winkler Prins voor ATH HAVO MAVO VBO LWOO,Raadsgildenlaan 9,/middelbare-scholen/veendam/26563/openbare-scholengemeenschap-winkler-prins-voor-ath-havo-mavo-vbo-lwoo/,Openbaar Voortgezet,195.0,Veendam,Middle School
Margaretha Hardenbergschool voor Zeer Moeilijk Lerende Kinderen,Schoolstraat 11,/middelbare-scholen/veendam/24267/margaretha-hardenbergschool-voor-zeer-moeilijk-lerende-kinderen/,Openbaar Voortgezet,71.0,Veendam,Middle School
De Blink,David Tenierslaan 8,/middelbare-scholen/veenendaal/23318/de-blink/,Prot. christelijk,82.0,Veenendaal,Middle School
Het Perron,Sportlaan 11 -13,/middelbare-scholen/veenendaal/23176/het-perron/,Prot. christelijk,937.0,Veenendaal,Middle School
Rembrandt College Openbare Scholengemeenschap voor Mavo Havo Ath,Rembrandtlaan 2,/middelbare-scholen/veenendaal/26163/rembrandt-college-openbare-scholengemeenschap-voor-mavo-havo-ath/,Openbaar Voortgezet,897.0,Veenendaal,Middle School
