,name,address,link,details,n_students,neighborhood,type
5217,Openbare Basisschool Het Overbos,Polderslaan 1,/basisscholen/oostvoorne/6683/openbare-basisschool-het-overbos/,OpenbaarBasisonderwijs252 leerlingen,252,Oostvoorne,Basic School
5218,Gelinckschool,Noordweg 14,/basisscholen/oostvoorne/7977/gelinckschool/,Algemeen bijzonderSpeciaal onderwijs92 leerlingen,92,Oostvoorne,Basic School
5219,Openbare Basisschool De Noordkaap,Huningaweg 8,/basisscholen/oostwold-gem-oldambt/6816/openbare-basisschool-de-noordkaap/,OpenbaarBasisonderwijs156 leerlingen,156,Oostwold (Gem. Oldambt),Basic School
5220,CBS De Lichtboei,Huningaweg 8,/basisscholen/oostwold-gem-oldambt/7315/cbs-de-lichtboei/,Prot. christelijkBasisonderwijs137 leerlingen,137,Oostwold (Gem. Oldambt),Basic School
5221,SWS De Gavelander,de Boomgaard 1,/basisscholen/oostwold-gem-westerkwartier/25124/sws-de-gavelander/,SamenwerkingBasisonderwijs61 leerlingenDalton,61,Oostwold (Gem. Westerkwartier),Basic School
5222,Christelijke Basisschool De Korenaar,Dokter de Boerstraat 42,/basisscholen/oostzaan/9856/christelijke-basisschool-de-korenaar/,Prot. christelijkBasisonderwijs278 leerlingen,278,Oostzaan,Basic School
5223,Openbare Basisschool De Kweekvijver,Paling 2,/basisscholen/oostzaan/10187/openbare-basisschool-de-kweekvijver/,OpenbaarBasisonderwijs245 leerlingen,245,Oostzaan,Basic School
5224,Openbare Basisschool De Rietkraag,Rietschoot 342,/basisscholen/oostzaan/6249/openbare-basisschool-de-rietkraag/,OpenbaarBasisonderwijs204 leerlingen,204,Oostzaan,Basic School
5225,obs Noorderschool,De Haal 44,/basisscholen/oostzaan/6251/obs-noorderschool/,OpenbaarBasisonderwijs149 leerlingen,149,Oostzaan,Basic School
5226,R.K. Basisschool De Meander,Profietstraat 8,/basisscholen/ootmarsum/8299/rk-basisschool-de-meander/,KatholiekBasisonderwijs314 leerlingen,314,Ootmarsum,Basic School
5227,Samenwerkingsschool De Leister Igge,Healwei 3,/basisscholen/opeinde/9125/samenwerkingsschool-de-leister-igge/,SamenwerkingBasisonderwijs135 leerlingen,135,Opeinde,Basic School
5228,samenlevingsschool de Binding,Verbindingsweg 4,/basisscholen/opende/25045/samenlevingsschool-de-binding/,SamenwerkingBasisonderwijs222 leerlingen,222,Opende,Basic School
5229,Prins Willem Alexanderschool,Blankenburgsestraat 1,/basisscholen/ophemert/10564/prins-willem-alexanderschool/,OpenbaarBasisonderwijs90 leerlingen,90,Ophemert,Basic School
5230,Christelijke Basisschool Eben Haëzer,Lindelaan 15,/basisscholen/opheusden/4823/christelijke-basisschool-eben-haezer/,Prot. christelijkBasisonderwijs458 leerlingen,458,Opheusden,Basic School
5231,Rehobothschool,Patrijsstraat 1A,/basisscholen/opheusden/4824/rehobothschool/,Prot. christelijkBasisonderwijs311 leerlingen,311,Opheusden,Basic School
5232,Openbare Basisschool Het Palet,Patrijsstraat 2,/basisscholen/opheusden/25122/openbare-basisschool-het-palet/,OpenbaarBasisonderwijs86 leerlingen,86,Opheusden,Basic School
5233,De Hervormde School,Hamsestraat 4,/basisscholen/opheusden/11150/de-hervormde-school/,Prot. christelijkBasisonderwijs234 leerlingen,234,Opheusden,Basic School
5234,openbare basisschool De Rietschoof,Zandstraat 14,/basisscholen/opijnen/10565/openbare-basisschool-de-rietschoof/,OpenbaarBasisonderwijs61 leerlingen,61,Opijnen,Basic School
5235,Basisschool Matthias,Deken Schmerlingstraat 17,/basisscholen/oploo/26471/basisschool-matthias/,KatholiekBasisonderwijs149 leerlingen,149,Oploo,Basic School
5236,De Akker,Meibloem 46,/basisscholen/opmeer/10146/de-akker/,OpenbaarBasisonderwijs54 leerlingen,54,Opmeer,Basic School
5237,RK Basisschool 't Ruimteschip,Marsstraat 2,/basisscholen/opmeer/8317/rk-basisschool-t-ruimteschip/,KatholiekBasisonderwijs74 leerlingen,74,Opmeer,Basic School
5238,Christelijke Basisschool It Harspit,P. Walmastrjitte 8,/basisscholen/oppenhuizen/7562/christelijke-basisschool-it-harspit/,Prot. christelijkBasisonderwijs89 leerlingen,89,Oppenhuizen,Basic School
5239,Christelijke basisschool De Wegwijzer,Hazepad 4,/basisscholen/opperdoes/8435/christelijke-basisschool-de-wegwijzer/,Prot. christelijkBasisonderwijs120 leerlingen,120,Opperdoes,Basic School
5240,Albertine Agnesschool,Prins Bernhardweg 33,/basisscholen/oranjewoud/6754/albertine-agnesschool/,OpenbaarBasisonderwijs161 leerlingen,161,Oranjewoud,Basic School
5241,Basisschool De Schrank,Siebenstraat 14,/basisscholen/ospel/7861/basisschool-de-schrank/,KatholiekBasisonderwijs276 leerlingen,276,Ospel,Basic School
5242,Basisschool Mozaïek,Oude Litherweg 18,/basisscholen/oss/8909/basisschool-mozaiek/,Confessioneel overigBasisonderwijs204 leerlingen,204,Oss,Basic School
5243,Basisschool De Lockaert,Bessenlaan 50 -52,/basisscholen/oss/24092/basisschool-de-lockaert/,Algemeen bijzonderBasisonderwijs204 leerlingen,204,Oss,Basic School
5244,Basisschool Hertogin Johanna,Aalbersestraat 4,/basisscholen/oss/24090/basisschool-hertogin-johanna/,Algemeen bijzonderBasisonderwijs190 leerlingen,190,Oss,Basic School
5245,BS Hertogin Johanna locatie Vianenstraat,Vianenstraat 106,/basisscholen/oss/24116/bs-hertogin-johanna-locatie-vianenstraat/,Algemeen bijzonderBasisonderwijs217 leerlingen,217,Oss,Basic School
5246,Basisschool De Nieuwe Link,Professor Regoutstraat 110,/basisscholen/oss/24094/basisschool-de-nieuwe-link/,Algemeen bijzonderBasisonderwijs208 leerlingen,208,Oss,Basic School
